symbol	company	yayk	nayk	mayk	yay	nay	may	desc
CFY.V	Cf Energy Corp	8	10	9	clojure.lang.LazySeq@df71925a	clojure.lang.LazySeq@ba65896c	clojure.lang.LazySeq@6ca6ec07	CF Energy Corp. operates as an integrated energy provider and natural gas distribution company in the People's Republic of China. The company operates through four segments: Pipeline Natural Gas Sales and Liquefied Natural Gas Supply Distribution Sales; Vehicle Refueling; Natural Gas Direct Transmission; and Renewable and Smart Energy/Integrated Smart Energy. The company distributes pipeline natural gas to users in the ceramic industry base of Xiangdong district, Pingxiang City, Jiangxi province; and operates two refueling stations in Sanya and Changsha, which provide refueling services for vehicles, such as household cars, taxicabs, buses, and trucks. It also transports natural gas via its 2.0 kilometers of pipeline; and develops the Haitang Bay Integrated Smart Energy and the Meishan integrated district energy distribution projects. The company was formerly known as Changfeng Energy Inc. and changed its name to CF Energy Corp. in April 2019. CF Energy Corp. was founded in 1995 and is based in Markham, Canada.
CBLU.V	Clear Blue Technologies Intl Inc	8	0	1	clojure.lang.LazySeq@1e525601	clojure.lang.LazySeq@1	clojure.lang.LazySeq@86da3fbe	Clear Blue Technologies International Inc. develops and sells off-grid power solutions to the power, control, monitor, manage, and service solar and hybrid power systems in Canada, the United States, the Middle East, Africa, and internationally. The company's products are used in street lights, security systems, telecommunications systems, emergency power, and Internet of Things (IoT) devices. It offers solar and wind controllers, telecom solar power systems, illumience cloud controls, Nano-grid power packs, and IoT devices; and solar and wind-powered outdoor lighting systems under the Illumient brand name. The company also provides remote power management services. Clear Blue Technologies International Inc. is headquartered in Toronto, Canada.
SOLR.V	Solar Alliance Energy Inc	8	0	6	clojure.lang.LazySeq@90f4f03c	clojure.lang.LazySeq@1	clojure.lang.LazySeq@3399fe41	Solar Alliance Energy Inc., together with its subsidiaries, provides energy solutions. The company primarily focuses on the development, engineering, procurement, and construction of commercial and industrial solar projects, and residential solar installations in California, Tennessee, North/South Carolina, and Kentucky. It also provides turnkey clean energy solutions. The company was formerly known as Finavera Solar Energy, Inc. and changed its name to Solar Alliance Energy Inc. in January 2016. Solar Alliance Energy Inc. was founded in 2003 and is based in Toronto, Canada.
LITT.V	Roadman Investments Corp	8	4	2	clojure.lang.LazySeq@93233ac4	clojure.lang.LazySeq@67a21b4d	clojure.lang.LazySeq@3c36a745	Roadman Investments Corp. is a venture capital, private equity and advisory firm specializing in incubation, seed, start-ups, later stage, strategic advisory, global partnership development, breakthrough products, devices, treatments, health supplement, corporate restructuring, Corporate recapitalization and growth capital investments. It focuses on managing and facilitating foreign investment and investing in private and public companies whose businesses involve later-stage. The firm prefers to invest in health & wellness, agricultural, medicinal mushroom, media, retail, financial services, pharmaceutical products, nutrition, medicine, technology, healthcare, clean tech, energy, consumer product, and consumer services and identify an exit strategy in China or North America. The firm invests into companies across the Pan-Pacific region. It prefers to take majority stake in its portfolio companies. Roadman Investments Corp. is previously known as Urban Select Capital Corporation and formerly known as China Select Capital Partners Corp, was incorporated in September 12, 2007 and is based in Vancouver, Canada with an additional office in Beijing, China, Vancouver, Canada.
EBM.V	Eastwood Bio Medical Canada Inc	7	0	0	clojure.lang.LazySeq@9ea7c71c	clojure.lang.LazySeq@1	clojure.lang.LazySeq@1	Eastwood Bio-Medical Canada Inc. distributes natural health supplements in North America and Asia. The company distributes Eleotin products and related products. Its Eleotin brand of products provides natural sourced solutions for metabolic syndromes, such as blood glucose disorders, obesity, and hypertension. The company's licensed products include Eleotin A 700 for the treatment for spleen deficiency, lack of appetite, and fatigue; Eleotin AL88 for laxative; Eleotin Cal20 for bone and teeth maintenance; Eleotin V3D for development and maintenance of bones and teeth; Eleotin G2000 for cardiovascular health; Eleotin H55 for sedative and tension relief; and Eleotin Zn330 for tissue formation and metabolism. Its product also include Eleotin Bentley to promote healthy glucose levels; and Eleotin LBM for hypertension relief. The company was incorporated in 2010 and is based in Richmond, Canada.
NXG.V	Nexgenrx Inc	7	0	0	clojure.lang.LazySeq@5fe3927b	clojure.lang.LazySeq@1	clojure.lang.LazySeq@1	NexgenRx Inc. administers, adjudicates, and pays drug, dental, and other extended health-care claims for the beneficiaries of health benefit plans in Canada. It offers prescription drug claims; dental claims; and claims for extended health benefits, as well as provides a health care spending account that offers an amount of money to an individual to pay for health or dental benefits. The company also provides individual and aggregate stop loss products; medical emergency and travel assistance insurance services; administrative services, including the collection and payment of premiums for life and LTD coverage, as well as a suite of reporting tools; Web claims submission services; direct deposit services; and ancillary services. NexgenRx Inc. was founded in 2003 and is headquartered in Toronto, Canada.
CZO.V	Ceapro Inc	7	3	6	clojure.lang.LazySeq@f40e1cf7	clojure.lang.LazySeq@48dbc2d6	clojure.lang.LazySeq@7453ff33	Ceapro Inc., a biotechnology company, engages in the development and commercialization of active ingredients in the United States, Germany, China, Canada, and internationally. It operates in two segments, The Active Ingredient Product Technology Industry and The Cosmeceutical Industry. The company is involved in the development and application of technology to the production of extracts and active ingredients from oats and other renewable plant resources. It adds value to its extracts by supporting their use in cosmeceutical, nutraceutical, and therapeutics products for humans and animals. The company's products include natural active ingredients comprising beta glucan, avenanthramides, oat powder, oat oil, oat peptides, and lupin peptides that are marketed to personal care, cosmetic, medical, and animal health industries through its distribution partners and direct sales; natural anti-aging skincare products; and veterinary therapeutic products, such as oat shampoos, ear cleansers, and dermal complexes/conditioners. Its products and technologies that are under research and development, or pre-commercial stage comprise a platform using its beta glucan formulations to deliver compounds for treatments in the personal and healthcare sectors; various novel enabling technologies, such as Pressurized Gas eXpanded drying technology; and technologies to enhance the content of avenanthramides. The company has a collaboration with the McMaster University to develop inhalable therapeutic for COVID-19. Ceapro Inc. was incorporated in 1997 and is headquartered in Edmonton, Canada.
IOT.V	Innovotech Inc	7	1	1	clojure.lang.LazySeq@12847c75	clojure.lang.LazySeq@ab37322f	clojure.lang.LazySeq@86da3fbe	Innovotech Inc. provides solutions to medical, agricultural, and industrial problems caused by microbial biofilms in Canada, the United States, and internationally. The company offers InnovoSIL, an antimicrobial agents for coating onto or incorporation into medical devices; MBEC Assay, a screening assay used to determine the efficacy of antimicrobials against biofilms of various microorganisms; and Agress/AgreGuard, an environmentally friendly seed treatments and plant sprays to protect crops against both bacterial and fungal infections. It also provides implant medical devices; antibiotic, antimicrobial, and biocide resistance; bacteriophage, cytotoxicity, and in vitro antimicrobial testing; and analytical services. It serves customers in the areas of biofilm issues, including catheter and implant medical devices, antibiotic drug development, wound healing, paint and specialized coatings, water system antimicrobial agents, dental treatments and water line antimicrobial agents, and bacterial and fungal agricultural crop diseases, as well as disinfectants in food safety, transportation, and healthcare. Innovotech Inc. was incorporated in 2001 is headquartered in Edmonton, Canada.
VHI.V	Vitalhub Corp	7	0	2	clojure.lang.LazySeq@43d6606d	clojure.lang.LazySeq@1	clojure.lang.LazySeq@67e35fd4	Vitalhub Corp., together with its subsidiaries, develops technology solutions for health and human service providers in the mental health, long term care, community health service, home health, social service, acute care, and hospital sectors in Canada, the United Kingdom, and the United States. Its technologies include blockchain, mobile, patient flow, Web-based assessment, and electronic healthcare record solutions. Vitalhub Corp. is based in Toronto, Canada.
EMH.V	Emerald Health Therapeutics Inc	7	1	0	clojure.lang.LazySeq@eda08068	clojure.lang.LazySeq@1adf1	clojure.lang.LazySeq@1	Emerald Health Therapeutics, Inc., together with its subsidiaries, produces and sells medical cannabis for medical purpose in Canada. The company is also involved in developing natural health products. It offers dried cannabis strains, pre-rolls, and cannabis oil products to its medical patients. The company was formerly known as T-Bird Pharma Inc. and changed its name to Emerald Health Therapeutics, Inc. in June 2015. Emerald Health Therapeutics, Inc. is headquartered in Vancouver, Canada.
SVS.V	Solarvest Bioenergy Inc	7	2	0	clojure.lang.LazySeq@5d807404	clojure.lang.LazySeq@183e6c21	clojure.lang.LazySeq@1	Solarvest BioEnergy Inc. engages in the development of algal-based production systems to produce natural based green commercial products in Canada and internationally. Its algal-based production systems are used to produce organic omega nutraceuticals and bio-pharmaceutical active ingredients/therapies. The company develops algae strains for the food enhancement and nutraceutical markets; and producing therapeutic proteins. It has a collaborative research and development agreement with FSD Pharma Inc. to develop algae-based pharmaceutical grade cannabinoids. The company was incorporated in 2005 and is based in Vancouver, Canada.
OG.V	Organic Garage Ltd	7	4	0	clojure.lang.LazySeq@1a262212	clojure.lang.LazySeq@fea089f9	clojure.lang.LazySeq@1	Organic Garage Ltd. owns and operates grocery stores that sell natural and organic products to consumers in Canada. The company offers produce, dairy, bakery, bulk, grocery, meat, frozen, and prepared foods; and health and beauty products, as well as vitamins and supplements. It operates four stores in the Greater Toronto Area. The company was founded in 2005 and is headquartered in Toronto, Canada.
CCW.V	Canada Silver Cobalt Works Inc.	6	1	0	clojure.lang.LazySeq@21880481	clojure.lang.LazySeq@30807f	clojure.lang.LazySeq@1	Canada Silver Cobalt Works Inc. engages in the acquisition, evaluation, exploration, and development of mineral properties in Canada. The company primarily explores for silver, cobalt, nickel, gold, and copper deposits. Its flagship property is the castle mine covering 19 claims, 34 leases, and two licenses located in Ontario. The company was formerly known as Canada Cobalt Works Inc. and changed its name to Canada Silver Cobalt Works Inc. in May 2020. Canada Silver Cobalt Works Inc. was incorporated in 2005 and is headquartered in Coquitlam, Canada.
RE.V	Re Royalties Ltd	6	0	2	clojure.lang.LazySeq@eb44161f	clojure.lang.LazySeq@1	clojure.lang.LazySeq@272961d8	RE Royalties Ltd. provides royalty financing solutions to renewable energy generation and development companies. As of December 31, 2019, it owns a portfolio of 75 royalties from solar, wind, and hydro projects in Canada, Europe, and the United States. The company is based in Vancouver, Canada.
SPI.V	Canadian Spirit Resources Inc	6	4	1	clojure.lang.LazySeq@7f7cfb41	clojure.lang.LazySeq@5628110c	clojure.lang.LazySeq@7bfc1ec7	Canadian Spirit Resources Inc., a natural resources company, focuses on the identification, exploration, development, and production of petroleum and natural gas properties in Canada. It primarily develops the Montney Formation natural gas and natural gas liquids resource play in the Farrell Creek/Altares area of northeastern British Columbia. The company was formerly known as Spirit Energy Corp. and changed its name to Canadian Spirit Resources Inc. in June 2004. Canadian Spirit Resources Inc. was incorporated in 1987 and is headquartered in Calgary, Canada.
MCLD.V	Mcloud Technologies Corp.	6	1	2	clojure.lang.LazySeq@91dbcdcf	clojure.lang.LazySeq@c66e75ee	clojure.lang.LazySeq@b61eeca1	mCloud Technologies Corp. provides asset management solutions combining IoT, cloud computing, artificial intelligence (AI), and analytics worldwide. Its AI-powered AssetCare platform offers asset management solutions, such as Connected Buildings, an AI and analytics solution to automate and remotely manage commercial buildings; Connected Workers, a cloud software to assist workers in the field to stay connected to experts remotely, facilitate repairs, and provide workers with an AI-powered digital assistant; Connected Energy for the inspection of wind turbine blades using AI-powered computer vision and the deployment of analytics to maximize wind farm energy production yield and availability; Connected Industry, to process assets and control endpoint monitoring, equipment health, and asset inventory management, as well as for the management of change across distributed teams; and Connected Health, a HIPAA-compliant remote health monitoring and connectivity solution. The company was formerly known as Universal mCloud Corp. and changed its name to mCloud Technologies Corp. in October 2019. mCloud Technologies Corp. is headquartered in Vancouver, Canada.
GRF.V	Green Rise Foods Inc	6	0	0	clojure.lang.LazySeq@1a39133	clojure.lang.LazySeq@1	clojure.lang.LazySeq@1	Green Rise Foods Inc. grows and sells greenhouse grown fresh produce in North America. It offers tomatoes. The company was formerly known as Green Rise Capital Corporation and changed its name to Green Rise Foods Inc. in October 2020. Green Rise Foods Inc. is based in Toronto, Canada.
AAZ.V	Azincourt Energy Corp	5	0	5	clojure.lang.LazySeq@fc478f88	clojure.lang.LazySeq@1	clojure.lang.LazySeq@81cb4947	Azincourt Energy Corp., an exploration and development company, focuses on the alternative fuels/alternative energy sector in Canada and Peru. It explores for uranium and lithium deposits, as well as other clean energy elements. The company has an option to acquire a 70% interest in the East Preston project located in Saskatchewan; and 100% interest in the ELC project located in Peru. The company was formerly known as Azincourt Uranium Inc. and changed its name to Azincourt Energy Corp. in October 2017. Azincourt Energy Corp. was incorporated in 2011 and is headquartered in Vancouver, Canada.
XTT.V	X Terra Resources Inc	5	2	2	clojure.lang.LazySeq@579100d	clojure.lang.LazySeq@5e13d33	clojure.lang.LazySeq@ff6f0dc1	X-Terra Resources Inc., an exploration stage company, acquires, explores, and develops mining, and oil and gas properties in Canada. It explores for gold, copper, silver, and nickel deposits. The company holds 100% interests in the Troilus East property located in north central Qu̩bec, Canada; and the Ducran property comprising of 75 mining claims covering an area of 4160 hectares situated in Qu̩bec, Canada. It also holds an option to acquire 70% interest in the Grog and Northwest property that consists of 38 claims covering an area of 28,000 hectares located in north eastern New Brunswick, Canada, as well holds interests in the Veronneau property situated in the sub province of Opatica and Nemiscau. The company was incorporated in 2013 and is headquartered in Rouyn-Noranda, Canada.
EHT.V	Enerdynamic Hybrid Tech Corp	5	0	2	clojure.lang.LazySeq@fd2a7f00	clojure.lang.LazySeq@1	clojure.lang.LazySeq@52e654c1	EnerDynamic Hybrid Technologies Corp. designs, develops, manufactures, assembles, and distributes structural building systems in Canada. It provides modular building/home systems with integrated hybrid alternative energy systems. The company offers fiberglass reinforced structural insulted panels, ultra-light solar panels, controlled environment growing pods, and alternative energy producing mobile trailers under the ENERTEC brand. It also provides PWR wagon products, such as batteries, charge controllers, inverters, power receptacle racks, and structures. The company is headquartered in Niagara Falls, Canada.
EAST.V	Eastwest Bioscience Inc	5	0	2	clojure.lang.LazySeq@ad4b66fb	clojure.lang.LazySeq@1	clojure.lang.LazySeq@7e4328a4	EastWest Bioscience Inc., a vertically-integrated wellness company, manufactures and sells hemp nutritional products in Canada and the United States. It offers bulk CBD and CBD consumer products, such as pet, beauty and skin care, food, and CBD supplement products, as well as tinctures, nutraceuticals, and chocolate infused CBD products to wholesalers and independent resellers. The company also operates Sangster's Health Center stores that sells supplements and wellness products through its franchise locations and online ecommerce platform. In addition, it is involved in the property management business. EastWest Bioscience Inc. was founded in 2016 and is headquartered in Penticton, Canada.
BDGC.V	Boundary Gold and Copper Mining Ltd.	5	4	5	clojure.lang.LazySeq@579100d	clojure.lang.LazySeq@29c24b61	clojure.lang.LazySeq@7229012f	Boundary Gold and Copper Mining Ltd. engages in the acquisition, exploration, and development of mining properties in Canada and Mexico. The company focuses on exploring gold, silver, and copper deposits. It holds 100% option agreement Kena Project located in the British Colombia, Canada; Daylight Property comprising 1,550 hectares located in the British Columbia, Canada; and Toughnut Property, which covers an area of 1,010 hectares located in the British Columbia, Canada. The company was formerly known as Prize Mining Corporation and changed its name to Boundary Gold and Copper Mining Ltd. in October 2019. Boundary Gold and Copper Mining Ltd. was incorporated in 1996 and is headquartered in Vancouver, Canada.
DOC.V	Cloudmd Software & Services Inc.	5	2	2	clojure.lang.LazySeq@7b33b5db	clojure.lang.LazySeq@b6d89e21	clojure.lang.LazySeq@7cf0a541	CloudMD Software & Services Inc., a technology company, provides SaaS based health technology solutions to medical clinics in Canada. The company provides digital technologies that connect doctors and allied health care providers to their patients. It also engages in retailing of prescription drugs, over-the-counter drugs, and other front store items through primary care clinics and pharmacies, as well as provide clinical, medical reviews, and compounding services. The company was formerly known as Premier Health Group Inc. and changed its name to CloudMD Software & Services Inc. in February 2020. CloudMD Software & Services Inc. was incorporated in 2013 and is headquartered in Victoria, Canada.
CUR.V	International Consolidated Uranium Inc	5	2	1	clojure.lang.LazySeq@579100d	clojure.lang.LazySeq@6100fc1	clojure.lang.LazySeq@af1ca97f	NxGold Ltd. acquires, develops, explores for, and evaluates early stage mineral properties, primarily gold in Canada. It holds an 80% interest in the Mt. Roe gold project comprising two exploration blocks covering an area of approximately 1,235 hectares located in the Pilbara region in Western Australia; and a right to acquire 70% interest in the Kuulu property covering an area of 4,174 hectares located in the Kavilliq region of Nunavut, Canada. The company also holds option agreements to acquire 100% interests in the Mountain Lake uranium property located in Nunavut, Canada; Moran Lake project located in the Central Mineral Belt of Labrador, Canada; and the Laguna Salada project located in Chubut Province, Argentina. The company was formerly known as Lancaster Capital Corp. and changed its name to NxGold Ltd. in November 2016. NxGold Ltd. was incorporated in 2004 and is headquartered in Vancouver, Canada.
AVCR.V	Avricore Health Inc	5	2	1	clojure.lang.LazySeq@e246b1db	clojure.lang.LazySeq@490db661	clojure.lang.LazySeq@9be7852b	Avricore Health Inc. operates as a healthcare technology company in Canada. The company provides HealthTab, a lab-accurate point of care testing platform. In addition, it offers Corozon Platform, which consists of Corozon Academy that provides practical professional education to community pharmacists; and Corozon Hardware, an e-commerce portal that allows pharmacists to order point-of-care diagnostic devices and supplies. The company was formerly known as Vanc Pharmaceuticals Inc. and changed its name to Avricore Health Inc. in October 2018. Avricore Health Inc. was founded in 1996 and is based in Vancouver, Canada.
JTR.V	Greenspace Brands Inc	5	0	1	clojure.lang.LazySeq@ca7d4868	clojure.lang.LazySeq@1	clojure.lang.LazySeq@86da3fbe	GreenSpace Brands Inc. develops, markets, and sells organic and natural food products to consumers in Canada and the United States. The company provides snack food products, such as raw and roasted nuts, seeds, and dried fruits under the Central Roast brand; and cheese-free products under the GO VEGGIE brand name. It also offers food products for infants, toddlers, and small children under the Love Child Organics brand name. GreenSpace Brands Inc. is headquartered in Toronto, Canada.
UGE.V	Uge International Ltd	5	0	3	clojure.lang.LazySeq@79075767	clojure.lang.LazySeq@1	clojure.lang.LazySeq@90be82fe	UGE International Ltd., a solar and renewable energy solutions company, provides commercial and community solar energy solutions to commercial and industrial clients in Canada, the United States, and the Philippines. It develops, engineers, deploys, and finances solar projects, as well as provides engineering, procurement, construction, and consulting services. The company was founded in 2008 and is based in New York, New York.
NUMI.V	Numinus Wellness Inc	5	1	1	clojure.lang.LazySeq@24bd86db	clojure.lang.LazySeq@ab37322f	clojure.lang.LazySeq@9be7852b	Numinus Wellness Inc., a cannabis technology company, engages in biomass sourcing, extraction, and manufacture of cannabis in Canada. The company also operates laboratories for analytic testing of cannabis; and offers health related services. Numinus Wellness Inc. is based in Vancouver, Canada.
