symbol	company	yayk	nayk	mayk	yay	nay	may	desc
IX2.SI	Pec Ltd.	6	5	2	clojure.lang.LazySeq@a16ed9c9	clojure.lang.LazySeq@af63bc3	clojure.lang.LazySeq@7cf0a541	PEC Ltd. provides mechanical engineering and contracting services to the oil and gas, petrochemical, pharmaceutical, and oil and chemical terminal industries. The company operates in three segments: Project Works; Plant Maintenance and Related Services; and Other Operations. It offers engineering, procurement, and construction (EPC) services, as well as engineering design and maintenance services; EPC project management and consultancy services; plant maintenance services, including plant turnarounds and upgrading, and makes up services; and engineering, mechanical, piping, structural, tankage, electrical and instrumentation, heat treatment, testing and isolation, painting and blasting, scaffolding, insulation and refractories, fireproofing, and hydro jetting services. The company also provides heavy machineries and equipment leasing services; civil, mechanical, and electrical engineering project services; and engineering technology, economic environmental, and health consultancy services. In addition, it engages in the provision of information technology and consultancy services; and marketing and provision of CAR-BER tools and services. The company serves in Singapore, India, Malaysia, China, Indonesia, Myanmar, Thailand, Vietnam, and the United Arab Emirates. PEC Ltd. was founded in 1982 and is headquartered in Singapore.
A50.SI	Rowsley Ltd.	6	3	0	clojure.lang.LazySeq@43e9d053	clojure.lang.LazySeq@cf3e93b	clojure.lang.LazySeq@1	Thomson Medical Group Limited, an investment holding company, provides healthcare services for women and children in Singapore, Malaysia, the United Kingdom, China, the Middle East, and internationally. The company owns and operates the Thomson Medical Center, as well as a network of 35 clinics and centers, which provide services in the areas of obstetrics, gynecology, pediatrics, aesthetics, cardiology, sports medicine, dermatology, cancer treatment, dental, traditional Chinese medicine, health screening, laboratory, and radiology; and offer diagnostic imaging, pharmacy, and outpatient services. It also provides consumer products and services, such as health supplements, skin care products, and mother and baby products. In addition, the company operates a pre-natal and clinical diagnostic laboratory; the Thomson Hospital Kota Damansara, a 205-bed hospital located in Kota Damansara, Kuala Lumpur; 6 fertility treatment centers under the TMC Fertility Center name; and the Vantage Bay Healthcare City, an integrated health and wellness development that consists of medical, wellness, and educational facilities located in Iskandar Malaysia. Further, it provides architect, planning, and engineering; research and development; property development; and engineering consultancy services. The company was founded in 1979 and is headquartered in Singapore.
BDU.SI	Federal Int(2000) Ltd	6	14	8	clojure.lang.LazySeq@4366cbe5	clojure.lang.LazySeq@7e09acad	clojure.lang.LazySeq@79ea8598	Federal International (2000) Ltd, an investment holding company, operates as an integrated service provider and procurement specialist in the oil and gas, and energy industries. It operates through six segments: Trading, Manufacturing/Design/Research and Development, Marine Logistics, Energy and Utilities, Resources, and Corporate and Others. The Trading segment assembles and distributes flowline control products; distributes oilfield drilling equipment for use on onshore and offshore rigs and drilling platforms; and offers fire protection and detection systems. It also provides electrical products for marine, coal mining, oil and gas, petrochemical, and pharmaceutical industries. The Manufacturing/Design/Research and Development segment researches, develops, designs, and manufactures flowline control products, high pressure and temperature valves, and related oilfield products. The Marine Logistics segment charters vessels to the offshore oil and gas, and other related industries. The Energy and Utilities segment procures and constructs projects of waste water treatment facility; and provides wastewater treatment services to the end-users. The Resources segment is involved in the mining and sale of coal and other natural resources. The Corporate and Others segment operates and maintains oil and gas facility services. The company also offers management and consultancy services for environmental-related projects; and project consultancy services. In addition, it supplies raw water and treated industrial tap water; and operates as a hardware merchant. The company operates in the People's Republic of China, Canada, Indonesia, Malaysia, the Philippines, Singapore, Thailand, the United States, the United Kingdom, Vietnam, and internationally. Federal International (2000) Ltd was founded in 1974 and is based in Singapore.
MR7.SI	Nordic Group Limited	6	4	0	clojure.lang.LazySeq@a022df47	clojure.lang.LazySeq@662f73ed	clojure.lang.LazySeq@1	Nordic Group Limited, an investment holding company, provides solutions in the areas of system integration; maintenance, repair, overhaul, and trading; precision engineering; scaffolding; insulation; petrochemical and environmental engineering; and cleanroom, air, and water engineering. The company turns systems into solutions by providing flow, automation, and navigation solutions that include valve remote control and tank gauging systems. It also offers services, such as engineering, procurement, installation, and commissioning for conversion, upgrading, and factory and infrastructure automation, as well as after-sales support services. In addition, the company designs and builds tooling systems; and offers production solutions for marine, oil and gas, aerospace, medical, and electronic manufacturing service industries. Further, it provides metal scaffold services includes design, erection, modification, and dismantling, as well as sells and rents tubular frames and aluminum scaffolds. Additionally, the company offers thermal and cryogenic insulation, thermal spray aluminum, and passive fireproofing services. It offers engineering repair, maintenance, and plant turnaround, as well as decontamination, process plant recovery, pre and post commissioning cleaning, heat exchanger and tank cleaning, intervention activities, equipment support, product filtering, and support in operation of utility plants services. The company also provides tools hook up services, air pollution control scrubbers, and water treatment plants. In addition, it manufactures aircraft components and hydraulic actuators; provides construction and painting services; and integrates, assembles, trades in, imports, and exports hydraulic systems and marine components. The company serves marine, oil and gas, infrastructure, construction, semiconductor, power plant and municipality, petrochemical, manufacturing, and pharmaceutical industries in Singapore and China. Nordic Group Limited was founded in 1998 and is headquartered in Singapore.
510.SI	Hiap Seng Engineering Ltd	6	4	3	clojure.lang.LazySeq@9266bb41	clojure.lang.LazySeq@e1fcaa21	clojure.lang.LazySeq@2a6c0627	Hiap Seng Engineering Ltd provides building construction, engineering, procurement, construction, and plant maintenance services for the oil and gas, and energy sectors in Singapore, Malaysia, Thailand, Vietnam, the United Arab Emirates, and internationally. It operates in two segments, Plant Construction and Maintenance, and Compression and Process Equipment Fabrication. The company offers engineering, procurement, and construction services, including modular compression, process equipment installation, pressure vessels, process piping, and tanks and terminals services for the oil and gas, petrochemical and chemical, power and utilities, and pharmaceutical industries. It also provides routine daily maintenance, total integrated plant maintenance, and turnaround maintenance services in the refineries, petrochemical/chemical complexes, pharmaceutical, and power/utilities plants; and undertakes mechanical, E & I and civil/buildings, refractory, insulation, and blasting/painting works, as well as offers scaffolding services. In addition, the company engages in the provision of facilities for plant fabrication; and plant construction and installation services, as well as mechanical engineering, process and industrial plant engineering, and consultancy services. The company was formerly known as Hiap Seng Engineering & Construction Pte Ltd. and changed its name to Hiap Seng Engineering Ltd in June 1999. Hiap Seng Engineering Ltd was founded in 1950 and is headquartered in Singapore.
5HV.SI	Metax Engineering Corp Limited	6	3	6	clojure.lang.LazySeq@4c7cb101	clojure.lang.LazySeq@683aff1	clojure.lang.LazySeq@471a75e1	Koh Brothers Eco Engineering Limited, provides engineering, procurement, and construction services for infrastructure, water and wastewater treatment, hydro-engineering, bio-refinery, and bio-energy projects. The company operates in two segments, Engineering and Construction; and Bio-Refinery and Bio-Energy. It undertakes various civil engineering and construction projects. The company also offers water and wastewater treatment solutions, such as engineering, manufacturing, and procurement services for infrastructure, specialist equipment, and turnkey systems, as well as project management, installation, performance trial, commissioning, training, and operation and maintenance services. In addition, it designs, builds, and installs hydro-engineering equipment and systems; and acts as a system integrator for the mechanical and electrical power, as well as instrumentation and control systems. Further, the company offers refining solutions, such as edible and non-edible oil refining plants, renewable energy and biofuel plants, and system and process improvements for the existing refining operations; provides consultancy, design, engineering, procurement, and construction services for palm oil mills that are seeking to recover and utilize methane as a source of renewable energy for power generation; and distributes machinery and components, as well as assists in designing, reviewing, submitting, and supporting palm oil mill effluent biogas recovery projects to achieve carbon credits. It serves government, and public and private sectors in Singapore, Malaysia, Indonesia, rest of Asia, South America, Africa, and internationally. The company was formerly known as Metax Engineering Corporation Limited and changed its name to Koh Brothers Eco Engineering Limited in April 2014. The company was incorporated in 1975 and is based in Singapore. Koh Brothers Eco Engineering Limited is a subsidiary of Koh Brothers Group Limited.
5WE.SI	Moya Holdings Asia Limited	6	0	0	clojure.lang.LazySeq@ebe78221	clojure.lang.LazySeq@1	clojure.lang.LazySeq@1	Moya Holdings Asia Limited, an investment holding company offers a range of water treatment solutions to government in Indonesia. It offers commissioning, operation, and maintenance of various water treatment plants on design, build, operate, and transfer arrangements. The company also provides management, technical advisory and analysis, and management consultancy services to the clean water industry; and supplies and distributes clean water. It serves approximately 3.5 million people and is connected to approximately 560,000 customers in the Greater Jakarta region. The company was incorporated in 2013 and is based in Singapore. Moya Holdings Asia Limited is a subsidiary of Tamaris Infrastructure Pte. Ltd.
K3FD.SI	Huaneng Power Intl Adr 10	6	6	6	clojure.lang.LazySeq@3dd95443	clojure.lang.LazySeq@bd75a01c	clojure.lang.LazySeq@73e1f0bf	Huaneng Power International, Inc., through its subsidiaries, generates and sells electricity and heat to the regional or provincial grid companies in the People's Republic of China, Singapore, and Pakistan. It is involved in the development, investment, construction, operation, and management of power plants and related projects; and generation, wholesale, and retail of power and other relating utilities. The company generates power from coal, wind, solar, gas, oil, biomass, and hydro resources. It is also involved in the sale of coal ash and lime; provision of cargo loading and storage, port, warehousing, and conveying services; photovoltaic power generation projects development and construction; and provision of thermal energy and cold energy services, as well as thermal heating services. In addition, the company engages in the repair of power equipment; provision of water supply and transportation services; construction and operation of electricity distribution networks and heating pipe networks; energy supply, energy transmission, and substation project contracting activities; cargo transportation; and port management, investment, and development activities. Further, it is involved in the management of industrial water and waste, as well as provides environment engineering, and information technology and management consulting services. Additionally, it sells raw and processed coal; and provides central heat, and plumbing and pipe installation services, as well as desalinated water. As of December 31, 2019, the company had controlled generating capacity of 106,924 megawatts and a total generating capacity of 93,676 megawatts. Huaneng Power International, Inc. was founded in 1994 and is headquartered in Beijing, the People's Republic of China.
1E3.SI	Sanli Environmental Limited	6	0	0	clojure.lang.LazySeq@d2867be1	clojure.lang.LazySeq@1	clojure.lang.LazySeq@1	Sanli Environmental Limited operates as an environmental engineering company in the field of water and waste management primarily in Singapore. The company operates through two segments, Engineering, Procurement and Construction (EPC); and Operations and Maintenance (O&M). The EPC segment provides various services in the field of water and waste management, including process upgrading of existing water treatment plants and pumping station capacities, replacement of aged mechanical and electrical equipment, and designing and building various treatment process systems. This segment also offers engineering solutions and services for the treatment of raw water and used water, and refuse in incineration plants. The O&M segment provides operations and maintenance services related to water and waste management; and corrective and preventive maintenance services for customers' operations. The company was incorporated in 2017 and is headquartered in Singapore.
K3OD.SI	Petrochina Adr 10	6	20	2	clojure.lang.LazySeq@3c7822e1	clojure.lang.LazySeq@b85e9eb7	clojure.lang.LazySeq@7cf0a541	PetroChina Company Limited, together with its subsidiaries, engages in a range of petroleum related products, services, and activities in Mainland China and internationally. It operates through Exploration and Production, Refining and Chemicals, Marketing, and Natural Gas and Pipeline segments. The company's Exploration and Production segment engages in the exploration, development, production, and marketing of crude oil and natural gas. Its Refining and Chemicals segment refines crude oil and petroleum products; and produces and markets primary petrochemical products, derivative petrochemical products, and other chemical products. The company's Marketing segment is involved in marketing of refined products and trading business. Its Natural Gas and Pipeline segment engages in the transmission of natural gas, crude oil, and refined products; and sale of natural gas. As of December 31, 2019, the company had a total length of 87,144 km, including 53,291 km of natural gas pipelines, 20,091 km of crude oil pipelines, and 13,762 km of refined product pipelines. The company is also involved in the exploration, development, and production of oil sands and coalbed methane; trading of crude oil and petrochemical products; storage, chemical engineering, storage facilities, service station, and transportation facilities and related businesses; import and export of goods and technology; and import and export agency business, as well as provision of technology promotion, professional contractor, and main contractor services; and production and sales of basic and derivative chemical, and other chemical products. The company was founded in 1999 and is headquartered in Beijing, the People's Republic of China. PetroChina Company Limited is a subsidiary of China National Petroleum Corporation.
AZT.SI	Lottvision Limited	5	2	0	clojure.lang.LazySeq@4517fffb	clojure.lang.LazySeq@783fafec	clojure.lang.LazySeq@1	NutryFarm International Limited, an investment holding company, engages in the research, development, production, trading, and sale of nutrition, health food, and related health products in the People's Republic of China. It operates through Internet Management; and Nutrition, Health Food and Related Health Products segments. The company also develops and sells digital video surveillance products and solutions; and provides technical support services relating to Internet and Web-TV business. In addition, it offers health food related technical services; and sells self-produced products. The company was formerly known as LottVision Limited and changed its name to NutryFarm International Limited in August 2015. NutryFarm International Limited was founded in 1986 and is based in Tsim Sha Tsui, Hong Kong.
E5H.SI	Golden Agri-resources Ltd	5	13	9	clojure.lang.LazySeq@659cb0e7	clojure.lang.LazySeq@65d816f6	clojure.lang.LazySeq@760c90c1	Golden Agri-Resources Ltd, an investment holding company, operates as an integrated palm oil plantation company in China, Indonesia, India, rest of Asia, Europe, and internationally. It operates in two segments, Plantation and Palm Oil Mills; and Palm, Laurics and Others. The company offers bulk products, such as crude palm oil, palm kernel, palm kernel oil, palm kernel meal, olein, stearin, cocoa butter substitute, soybean oil, and soybean meal; oleo chemicals; palm oil based bio-diesel and other renewable resources based energy; and refined products, including cooking oil, margarine, shortening, butter oil substitute, and fats for end-customers, restaurants, hotels, caf̩s, and industrial markets. It also produces other food products, such as instant noodles, as well as snack products and beverages. The company manages approximately 170 oil palm estates with a total area of 497,587 hectares in Indonesia. In addition, it offers treasury management, building management, business and management consultancy, telecommunication and multimedia, commercial and industrial real estate management, aerial manuring, construction, training, ship management, chartering, and technology product services. Further, the company provides IT consultancy, as well as IT application design, development, and maintenance services; facilities for data center resources and other IT outsourced activities; and port loading, storage, packaging, and transportation services. Additionally, it engages in building and operation of wind power farms; importing, marketing, and distributing palm oil products; power generation of renewable energy; cultivation of ornamental plants; wholesale trade; property investment activities; production and distribution of bottled ionised mineral water; shipping and logistics; vessels operation; and sale of food and beverage products. The company was founded in 1996 and is based in Singapore. Golden Agri-Resources Ltd is a subsidiary of Flambo International Limited.
5CT.SI	Ecowise Holdings Limited	5	1	5	clojure.lang.LazySeq@77f2e128	clojure.lang.LazySeq@3e10556	clojure.lang.LazySeq@9ef4981f	ecoWise Holdings Limited, an investment holding company, provides resource recovery, renewable energy, and integrated environmental solutions in Singapore, Malaysia, Australia, the People's Republic of China, and internationally. Its Renewable Energy segment designs, builds, and operates biomass co-generation systems; generates and sells power; and provides services related to the applications of heat. The company's Resource Recovery segment is involved in processing, recycling, and repurposing waste and salvageable materials into various products for industrial applications, such as compost and retreaded tires. Its Integrated Environmental Management Solutions segment offers resource management and integrated environmental engineering solutions for industrial waste and energy management comprising designing, optimizing, engineering, procuring, fabricating, commissioning, managing, and maintaining waste and energy management facilities. The company also provides general waste management services; manufactures, processes, procures, deals in, and trades in rubberized related goods; researches and develops environmental and clean technologies; and develops and commercializes ecology solutions. In addition, it offers environmental solutions consultancy services; and project and investment consultancy, management services; and generates and sale electricity and heat. Further, the company engages in trading of new and retread tires, and related rubberized products; producing, trading, and consulting related to biomass products; and processing and recycling horticultural and other waste. ecoWise Holdings Limited was founded in 1979 and is headquartered in Singapore.
S51.SI	Sembcorp Marine Ltd	5	5	1	clojure.lang.LazySeq@2b95f1cb	clojure.lang.LazySeq@994316ee	clojure.lang.LazySeq@b29732a7	Sembcorp Marine Ltd, an investment holding company, provides offshore and marine engineering solutions worldwide. The company engages in the turnkey design, engineering, procurement, construction, and commissioning of offshore newbuilding and conversions, FSOs, FPSOs, FDPSOs, FPUs, MOPUs, gas terminals, FLNGs, FSRUs, jack-ups, semi-submersibles, drill ships, SSP solutions, TLPs, and SPARs. It is also involved in the repair, refurbishment, retrofitting, life-extension, upgrading, and conversion of vessels, marine and offshore structures, LNG and LPG gas carriers, cruise ships, ferries, mega-yachts, floating production vessels, MODUs, tankers, containers, and cargo ships; and offers jumboisation and dejumboisation solutions. In addition, the company offers afloat and emergency repair, underwater cleaning and repair, main engine maintenance and repair, steel and pipe work, electrical and instrumentation repair, mechanical and motor rewind repair, tank cleaning, sludge and oily waste disposal, staging work, hydro jetting and hydro/vacuum blasting, riding crew and voyage repair, specialized workshop repair and reconditioning, vessel towage and port clearance arrangement, specialists service and navigation, automation, safety, and fire protection services. Further, it offers integrated production facilities, utility and living quarters, compression and power generation, wellhead and risers, and jacket platforms; topside modules; onshore LNG and plant modules; and substation platforms and wind turbine foundations. Additionally, it designs and builds sophisticated, specialized, gas value chain, ferry, RoPax, cruise, renewable energy and offshore support, naval support and security, and research and scientific survey vessels. The company was formerly known as Jurong Shipyard Ltd and changed its name to Sembcorp Marine Ltd in 2000. The company was founded in 1963 and is headquartered in Singapore. Sembcorp Marine Ltd. is a subsidiary of Sembcorp Industries Ltd.
BEH.SI	China International Hldgs Ltd	5	4	1	clojure.lang.LazySeq@d0459e8	clojure.lang.LazySeq@72c12d41	clojure.lang.LazySeq@b29732a7	China International Holdings Limited, an investment holding company, engages in the water supply services and land development businesses in the People's Republic of China. The company's Water Supply Services segment constructs water pipelines and supplies gray water. Its Land Development segment provides engineering and land leveling services for preliminary land development projects. The company is also involved in the investment of properties; and energy and natural resources business. China International Holdings Limited is based in Beijing, the People's Republic of China.
585.SI	Asian Micro Holdings Ltd	5	5	1	clojure.lang.LazySeq@17f54d88	clojure.lang.LazySeq@85ebec8b	clojure.lang.LazySeq@3021d5	Asian Micro Holdings Limited, an investment holding company, provides compressed natural gas (CNG) supply and related products and services. The company's Tray Washing and Recycling segment offers recycling and precision cleaning services of packaging trays and media/disk cassettes that are used in the hard disk drive and semiconductor industry. This segment also provides precision parts cleaning and parts visual inspection, as well as clean room laundry cleaning services. Its Trading segment offers industrial used plastic bags for hard disk drive and semi-conductor customers. The company's Natural Gas Vehicle (NGV) Related Business segment is involved in trading NGV related products, such as bi-fuel conversion kits and cylinders, as well as the transportation of CNG refilling gas services. It serves customers in the oil and gas, marine and offshore, aviation, shipyard, and manufacturing industries in Singapore, the Philippines, Thailand, and Malaysia. Asian Micro Holdings Limited was founded in 1996 and is based in Singapore.
5AL.SI	Annica Holdings Limited	5	3	3	clojure.lang.LazySeq@de9d0ba1	clojure.lang.LazySeq@8feac216	clojure.lang.LazySeq@a5cbc86b	Annica Holdings Limited, an investment holding company, engages in the trading of oil and gas equipment for the oil and gas exploration, production, and petrochemical industries. It is also involved in designing industrial plant engineering service systems, as well as in the general wholesale and trading activities. In addition, the company engages in the design, engineering, procurement, construction, and commissioning of solar photovoltaic systems and related products. Further, the company is involved in the recycling, renewable energy, and green technology business. Additionally, the company is involved in the operation of electric energy generation facilities; manufacture of fabricated metal products; and construction of utility projects. It has operations in Singapore, Malaysia, Indonesia, Thailand, Vietnam, China, Brunei, Myanmar, and internationally. The company was incorporated in 1983 and is based in Singapore.
