symbol	company	yayk	nayk	mayk	wyay	wnay	wmay	desc
FEI	First Trust MLP and Energy Inc	0	0	8	#{}	#{}	#{"energy" "utilities" "United States" "Energy"}	First Trust MLP and Energy Income Fund is a closed-ended balanced mutual fund launched and managed by First Trust Advisors L.P. The fund is co-managed by Energy Income Partners LLC. It invests in the public equity and fixed income markets of the United States. The fund seeks to invest in securities of companies operating in the energy and energy utilities sectors. It primarily invests in equity and debt securities of MLPs and MLP-related entities, as well as in dividend paying growth stocks of companies. First Trust MLP and Energy Income Fund was formed on August 17, 2012 and is domiciled in the United States.
ACRE	Ares Commercial Real Estate Cor	0	0	8	#{}	#{}	#{"Real Estate" "United States" "real estate"}	Ares Commercial Real Estate Corporation, a specialty finance company, originates and invests in commercial real estate (CRE) loans and related investments in the United States. It provides a range of financing solutions for the owners, operators, and sponsors of CRE properties. The company originates senior mortgage loans, subordinate debt products, real estate preferred equity investments, mezzanine loans, and other CRE investments, including commercial mortgage backed securities. Ares Commercial Real Estate Corporation has elected and qualified to be taxed as a real estate investment trust for the United States federal income tax purposes under the Internal Revenue Code of 1986. Ares Commercial Real Estate Management LLC operates as the manager of the company. The company was founded in 2011 and is headquartered in New York, New York.
PGZ	Principal Real Estate Income F	0	0	8	#{}	#{}	#{"Real Estate" "United States" "real estate"}	Principal Real Estate Income Fund is a closed ended balanced mutual fund launched and managed by ALPS Advisers, Inc. It is co-managed by Principal Real Estate Investors, LLC. The fund invests in public equity and fixed income markets of the United States. It seeks to invest in commercial mortgage backed securities, real estate investment trusts and REIT-like entities. The fund invests in value stocks of companies. It uses financial derivatives such as credit default swaps, interest rate swaps, caps, floors and collars, currency futures and forwards, rate forwards, and interest rate futures to invest in securities. The fund employs fundamental analysis with a combination of top-down and bottom-up stock picking approach while focusing on factors such as macro outlook on the economy, real estate cycle and real estate fundamentals, shorter-term tactical allocation shifts upon a continual assessment of market valuations, quantitative, analysis, and technical indicators to create it portfolio. Principal Real Estate Income Fund was formed on August 31, 2012 and is domiciled in the United States.
XAN	Exantas Capital Corp	0	0	7	#{}	#{}	#{"United States" "real estate"}	Exantas Capital Corp., a real estate investment trust, primarily focuses on the origination, holding, and management of commercial real estate mortgage loans and other commercial real estate-related debt investments in the United States. It invests in commercial real estate-related assets, including floating and fixed rate first mortgage loans, first priority interests in first mortgage loans, subordinated interests in first mortgage loans, mezzanine debt, preferred equity investments, commercial mortgage-backed securities, and commercial real estate equity investments. The company qualifies as a real estate investment trust (REIT) for federal income tax purposes. It generally would not be subject to federal corporate income tax to the extent that it distributes 100% of its REIT taxable income. The company was formerly known as Resource Capital Corp. and changed its name to Exantas Capital Corp. in May 2018. Exantas Capital Corp. was founded in 2005 and is based in New York, New York.
PFS	Provident Financial Services	0	0	6	#{}	#{}	#{"United States" "real estate"}	Provident Financial Services, Inc. operates as the holding company for Provident Bank that provides various banking services to individuals, families, and businesses in the United States. The company's deposit products include savings, checking, interest-bearing checking, money market deposit, and certificate of deposit accounts, as well as IRA products. Its loan portfolio comprises commercial real estate loans that are secured by properties, such as multi-family apartment buildings, office buildings, and retail and industrial properties; commercial business loans; fixed-rate and adjustable-rate mortgage loans collateralized by one- to four-family residential real estate properties; commercial construction loans; and consumer loans consisting of home equity loans, home equity lines of credit, marine loans, personal loans, and auto and recreational vehicle loans. The company also offers cash management, remote deposit capture, payroll origination, escrow account management, and online and mobile banking services; and business credit cards. In addition, it provides wealth management services comprising investment management, trust and estate administration, financial planning, tax compliance and planning, and private banking. Further, the company sells insurance and investment products, including annuities; operates as a real estate investment trust for acquiring mortgage loans and other real estate related assets; and manages and sells real estate properties acquired through foreclosure. As of December 31, 2019, it operated 83 full-service branch offices in northern and central New Jersey, as well as in Pennsylvania. The company was founded in 1839 and is headquartered in Jersey City, New Jersey.
TPZ	Tortoise Power and Energy	0	0	6	#{}	#{}	#{"energy" "United States" "Energy"}	Tortoise Power and Energy Infrastructure Fund, Inc. is a closed-ended balanced mutual fund launched and managed by Tortoise Capital Advisors, LLC. The fund invests in the fixed income and public equity markets of the United States. It invests in securities of companies operating in the power and energy infrastructure sectors. The fund employs a fundamental analysis with a bottom up stock picking approach with focus on factors like comparison of quantitative, qualitative, and relative value factors to create its portfolio. It was formerly known as Tortoise Power and Energy Income Company. Tortoise Power and Energy Infrastructure Fund, Inc. was formed on July 5, 2007 and is domiciled in the United States.
RDN	Radian Group Inc	0	0	6	#{}	#{}	#{"United States" "real estate"}	Radian Group Inc., together with its subsidiaries, engages in the mortgage and real estate services business in the United States. The company operates in two segments, Mortgage Insurance and Services. The Mortgage Insurance segment offers credit-related insurance coverage, primarily through private mortgage insurance on residential first-lien mortgage loans, as well as other credit risk management solutions to mortgage lending institutions and mortgage credit investors. This segment primarily serves mortgage bankers, commercial banks, savings institutions, credit unions, and community banks. The Services segment offers mortgage services, including transaction management services, such as loan review, residential mortgage-backed securities securitization and distressed asset reviews, review and valuation services related to single family rental properties, servicer and loan surveillance, and underwriting; real estate services comprising real estate owned asset management, and real estate valuation and brokerage services, as well as software as a service solutions and platforms; and title services that include title insurance products, and closing services. This segment provides its mortgage and real estate services to mortgage lenders, financial institutions, investors, government entities, and others. The company was founded in 1977 and is headquartered in Philadelphia, Pennsylvania.
STWD	Starwood Property Trust	0	0	6	#{}	#{}	#{"United States" "real estate"}	Starwood Property Trust, Inc. operates as a real estate investment trust (REIT) in the United States and Europe. It operates through Commercial and Residential Lending, Infrastructure Lending, Property, and Investing and Servicing segments. The Commercial and Residential Lending segment originates, acquires, finances, and manages commercial and residential first mortgages, subordinated mortgages, mezzanine loans, preferred equity, commercial mortgage-backed securities (CMBS), residential mortgage-backed securities, and other real estate and real estate-related debt investments. The Infrastructure lending segment originates, acquires, finances, and manages infrastructure debt investments. The Property segment acquires and manages equity interests in commercial real estate properties, including multi-family properties. The Investing and Servicing segment manages and works out problem assets; acquires and manages unrated, investment grade, and non-investment grade rated CMBS, including subordinated interests of securitization and re-securitization transactions; originates conduit loans for the primary purpose of selling these loans into securitization transactions; and acquires commercial real estate assets, including properties acquired from CMBS trusts. The company qualifies as a REIT for federal income tax purposes and would not be subject to federal corporate income taxes, if it distributes at least 90% of its taxable income to its stockholders. Starwood Property Trust, Inc. was founded in 2009 and is headquartered in Greenwich, Connecticut.
STK	Columbia Seligman Premium Technology	0	0	6	#{}	#{}	#{"technology" "Technology" "United States"}	Columbia Seligman Premium Technology Growth Fund is a closed ended equity mutual fund launched and managed by Columbia Management Investment Advisers, LLC. It invests in public equity markets. The fund seeks to invest in stocks of companies operating in the technology sector. It primarily invests in growth stocks of companies. It employs fundamental analysis with focus on factors like companies that have best growth prospects, trade at attractive valuations and deliver solid investment returns over time to create its portfolio. The fund benchmarks the performance of its portfolio against the S&P North American Technology Sector Index. The fund was formerly known as Seligman Premium Technology Growth Fund, Inc. Columbia Seligman Premium Technology Growth Fund was formed on November 30, 2009 and is domiciled in the United States.
TRTX	Tpg Re Finance Trust Inc	0	0	6	#{}	#{}	#{"real estate"}	TPG RE Finance Trust, Inc., a commercial real estate finance company, originates, acquires, and manages commercial mortgage loans and other commercial real estate-related debt instruments in North America. It invests in commercial mortgage loans; subordinate mortgage interests, mezzanine loans, secured real estate securities, note financing, preferred equity, and miscellaneous debt instruments; and commercial real estate collateralized loan obligations and commercial mortgage-backed securities secured by properties primarily in the office, mixed use, multifamily, industrial, retail, and hospitality real estate sectors. The company qualifies as a real estate investment trust for federal income tax purposes. It generally would not be subject to federal corporate income taxes if it distributes at least 90% of its taxable income to its stockholders. TPG RE Finance Trust, Inc. was founded in 2014 and is based in New York, New York.
SCU	Sculptor Capital Management Inc	0	0	6	#{}	#{}	#{"golf" "real estate"}	Sculptor Capital Management, Inc. is a publicly owned hedge fund sponsor. The firm provides investment advisory services to its clients. It primarily caters to institutional investors, which include pension funds, fund-of-funds, foundations and endowments, corporations and other institutions, private banks and family offices. The firm also manages separate client-focused equity, fixed income, and real estate separate accounts. It also manages commingled funds and specialized products. The firm invests in equity, fixed income and real estate markets across the world. It employs quantitative and qualitative analysis to make its investments through a combination of fundamental bottom-up research, a high degree of flexibility, and integrated risk management. For its multi-strategy portfolios, the firm employs strategies like convertible and derivative arbitrage, corporate credit, long/short equity special situations, buyout investments, merger arbitrage, private investments, and structured credit. It also invests in real estate and traditional real estate assets including multifamily, office, hotel and retail, loans, portfolio acquisitions, loan pools, operating companies, structured debt products, public securities, and non-traditional real estate assets including gaming, distressed land and residential, cell towers, parking, golf, debt and senior housing. For private equity investments, it considers investments in a variety of special situations that seek to realize value through strategic sales or initial public offerings. The firm was previously known as Och-Ziff Capital Management Group Inc. Sculptor Capital Management, Inc. was founded in 1994 and is based New York, New York.
MFD	Macquarie/First Trust Global	0	0	5	#{}	#{}	#{"utilities" "United States" "Utilities"}	Macquarie/First Trust Global Infrastructure/Utilities Dividend & Income Fund is a closed-ended equity mutual fund launched and managed by First Trust Advisors L.P. It is co-managed by Macquarie Capital Investment Management, LLC and Four Corners Capital Management, LLC. The fund invests in public equity markets across the globe. It seeks to invest in stocks of companies operating in the infrastructure and utilities sectors. The fund primarily invests in dividend-paying stocks of companies. It benchmarks the performance of its portfolio against the S&P 500 Utilities Total Return Index. Macquarie/First Trust Global Infrastructure/Utilities Dividend & Income Fund was formed on March 25, 2004 and is domiciled in the United States.
MIE	Cohen & Steers MLP Income and	0	0	5	#{}	#{}	#{"energy" "United States" "Energy"}	Cohen & Steers MLP Income and Energy Opportunity Fund, Inc. is a balanced closed-ended fund launched by Cohen & Steers, Inc. The fund is managed by Cohen & Steers Capital Management, Inc. It invests in public equity and fixed income markets of the United States. The fund primarily seeks to to invest in master limited partnerships and securities issue by companies engaged in energy sector. It benchmarks the performance of its portfolio against the Alerian MLP Index and a composite benchmark of 90% Alerian MLP Index and 10% BofA Merrill Lynch Fixed-Rate Preferred Securities Index. Cohen & Steers MLP Income and Energy Opportunity Fund, Inc. was formed on December 13, 2012 and is domiciled in the United States.
ARI	Apollo Commercial Real Estate	0	0	5	#{}	#{}	#{"Real Estate" "United States" "real estate"}	Apollo Commercial Real Estate Finance, Inc. operates as a real estate investment trust (REIT) that primarily originates, acquires, invests in, and manages commercial first mortgage loans, subordinate financings, and other commercial real estate-related debt investments in the United States. It is qualified as a REIT under the Internal Revenue Code. As a REIT, it would not be subject to federal income taxes, if the company distributes at least 90% of its REIT taxable income to its stockholders. Apollo Commercial Real Estate Finance, Inc. was founded in 2009 and is based in New York, New York.
HTY	John Hancock Tax-Advantaged Global	0	0	5	#{}	#{}	#{"technology" "energy" "utilities" "United States" "real estate"}	John Hancock Investments - John Hancock Tax-Advantaged Global Shareholder Yield Fund is a closed ended equity mutual fund launched and managed by John Hancock Investment Management LLC. It is co-managed by Analytic Investors, LLC and Epoch Investment Partners, Inc. The fund invests in the public equity markets across the globe. It seeks to invest in stocks of companies operating in utilities, telecommunication services, consumer staples, financials, industrials, energy, healthcare, information technology, consumer discretionary, real estate and materials sectors. The fund primarily invests in dividend paying stocks of companies. It invests in stocks of companies across diversified market capitalizations. The fund employs fundamental analysis with a bottom-up stock picking approach to create its portfolio. It benchmarks the performance of its portfolio against the MSCI World Index. John Hancock Investments - John Hancock Tax-Advantaged Global Shareholder Yield Fund was formed on September 26, 2007 and is domiciled in the United States.
CEM	Clearbridge Energy MLP Fund Inc	0	0	5	#{}	#{}	#{"energy" "United States" "Energy"}	ClearBridge Energy MLP Fund Inc. is a closed-ended equity mutual fund launched and managed by Legg Mason Partners Fund Advisor, LLC. It is co-managed by Clearbridge Advisors, LLC. The fund invests in the public equity markets of the United States. It seeks to invest in stocks of companies operating in the energy sector. The fund primarily invests in equity securities of MLPs and growth stocks of companies operating across diversified market capitalizations. It employs fundamental analysis with a bottom-up stock selection approach, focusing on companies with long-lived assets, predictable cash flows, and low direct commodity exposure to create its portfolio. ClearBridge Energy MLP Fund Inc. was formed on March 31, 2010 and is domiciled in the United States.
WD	Walker & Dunlop	0	0	5	#{}	#{}	#{"United States" "real estate"}	Walker & Dunlop, Inc., through its subsidiaries, provides a range of multifamily and other commercial real estate financing products for owners and developers of real estate in the United States. The company offers first mortgage, second trust, supplemental, construction, mezzanine, preferred equity, small-balance, and bridge/interim loans. It also provides multifamily finance for manufactured housing communities, student housing, affordable housing, and senior housing properties under the Fannie Mae DUS program; and construction and permanent loans to developers and owners of multifamily housing, affordable housing, senior housing, and healthcare facilities. In addition, the company acts as an intermediary in the placement of commercial real estate debt between institutional sources of capital, including life insurance companies, investment banks, commercial banks, pension funds, commercial mortgage backed securities issuers, and other institutional investors, as well as owners of various types of commercial real estate. Further, it advises on capital structure; develops the financing package; facilitates negotiations between its client and institutional sources of capital; coordinates due diligence; and assists in closing the transaction. Additionally, the company offers property sales brokerage, underwriting and risk management, and servicing and asset management services; and short-term and senior secured debt financing products. Walker & Dunlop, Inc. was founded in 1937 and is headquartered in Bethesda, Maryland.
SI	Silvergate Capital Corp Cl A	0	0	4	#{}	#{}	#{"United States" "real estate"}	Silvergate Capital Corporation operates as a bank holding company for Silvergate Bank that provides banking products and services to business and individual clients in the United States and internationally. The company accepts deposit products, including interest and noninterest bearing demand accounts, money market and savings accounts, and certificates of deposit accounts. Its loan products include one-to-four family real estate loans, multi-family real estate loans, commercial real estate loans, construction loans, commercial and industrial loans, mortgage warehouse loans, and reverse mortgage loans, as well as consumer loans and other loans secured by personal property. The company also provides cash management services for digital currency-related businesses. The company was founded in 1988 and is headquartered in La Jolla, California.
NRZ	New Residential Investment Corp	0	0	4	#{}	#{}	#{"United States" "real estate"}	New Residential Investment Corp., a real estate investment trust, focuses on investing in and managing residential mortgage related assets in the United States. It operates through Origination, Servicing, MSR Related Investments, Residential Securities and Loans, and Consumer Loans segments. The company invests in excess mortgage servicing rights (MSRs) on residential mortgage loans; and in servicer advances, including the basic fee component of the related MSRs. It also invests in real estate securities and residential mortgage loans, as well as in consumer loans, including unsecured and homeowner loans. The company qualifies as a real estate investment trust for federal income tax purposes. It generally would not be subject to federal corporate income taxes if it distributes at least 90% of its taxable income to its stockholders. The company was founded in 2011 and is based in New York, New York.
KREF	KKR Real Estate Finance Trust Inc	0	0	4	#{}	#{}	#{"Real Estate" "real estate"}	KKR Real Estate Finance Trust Inc., a mortgage real estate investment trust, focuses primarily on originating and acquiring senior loans secured by commercial real estate (CRE) assets. The company engages in the origination and purchase of credit investments related to CRE, including leveraged and unleveraged commercial mortgage loans, and commercial mortgage-backed securities. It has elected to be taxed as a real estate investment trust and would not be subject to federal corporate income taxes if it distributes at least 90% of its taxable income to its stockholders. The company was founded in 2014 and is headquartered in New York, New York.
TUFN	Tufin Software Technologies Ltd	0	0	4	#{}	#{}	#{"United States" "Germany" "Israel"}	Tufin Software Technologies Ltd., together with its subsidiaries, develops, markets, and sells software-based solutions primarily in the United States, Israel, Europe, the Middle East, and Africa, Germany, Asia Pacific, and internationally. The company provides SecureTrack, which enables security administrators to define and manage a centralized security policy, minimize the attack surface, and ensure continuous compliance across the network; SecureChange that is used to assess, provision, and verify security configuration changes across physical networks and cloud platforms, while maintaining security and compliance; and SecureApp, which is used to define, manage, and monitor network connectivity for their applications. It also offers SecureCloud, a security policy automation service that provides the real-time visibility and control needed to ensure the security and compliance of hybrid cloud environments. The company sells its products and services through distributors and resellers, as well as service delivery partners. Tufin Software Technologies Ltd. was founded in 2005 and is headquartered in Tel Aviv, Israel.
JRS	Nuveen Real Estate Fund	0	0	4	#{}	#{}	#{"Real Estate" "United States"}	Nuveen Real Estate Income Fund is a closed-ended equity mutual fund launched by Nuveen Investments Inc. The fund is managed by Security Capital Research & Management Incorporated. It invests in the public equity markets of the United States. The fund makes its investments in stocks of companies operating in the real-estate sector. It typically invests in growth stocks of companies operating across all market capitalizations. Nuveen Real Estate Income Fund was formed on November 15, 2001 and is domiciled in the United States.
CWK	Cushman & Wakefield Plc	0	0	4	#{}	#{}	#{"real estate"}	Cushman & Wakefield plc provides commercial real estate services under the Cushman & Wakefield brand in the Americas, the Asia Pacific, Europe, the Middle East, and Africa. The company's operating segments include the Americas; Europe, Middle East and Africa; and Asia Pacific. It offers integrated facilities management, project and development, portfolio administration, transaction management, and strategic consulting services; property management services, including client accounting, engineering and operations, lease compliance administration, project and development, and sustainability services; and janitorial, maintenance, critical environment management, landscaping, and office services. The company also provides owner representation and tenant representation leasing services; capital market services, such as investment sales and equity, and debt and structured financing for real estate purchase and sales transactions; and appraisal management, investment management, valuation advisory, portfolio advisory, diligence advisory, dispute analysis and litigation support, financial reporting, and property and/or portfolio valuation services on real estate debt and equity decisions. Cushman & Wakefield has a strategic partnership with Vanke Service. It serves real estate owners and occupiers. Cushman & Wakefield plc was founded in 1784 and is headquartered in Chicago, Illinois.
RNP	Cohen & Steers REIT and Preferred	0	0	4	#{}	#{}	#{"United States" "real estate"}	Cohen & Steers REIT and Preferred Income Fund, Inc. is a closed-ended balanced mutual fund launched by Cohen & Steers Inc. It is managed by Cohen & Steers Capital Management, Inc. The fund invests in the public equity and fixed income markets of the United States. It seeks to invest in the stocks of companies operating in the real estate sector including real estate investment trusts. For its fixed income portfolio, the fund typically invests in debt and preferred securities of companies operating across diversified sectors. It employs fundamental analysis to create its fixed income portfolio with a focus on the issuer's creditworthiness, corporate and capital structure, placement of the preferred or debt securities within that structure, momentum and other exogenous signals, and relative value versus other income security classes and for its equity portfolio also it employs fundamental analysis to create its portfolio with a focus on growth potential, earnings estimates, and the quality of management. The fund benchmarks the performance of its portfolio against the FTSE NAREIT Equity Index, S&P 500 Index, Merrill Lynch Fixed Rate Preferred Index, and FTSE NAREIT Equity REIT Index. It was formerly known as Cohen & Steers REIT & Preferred Balanced Income Fund. Cohen & Steers REIT and Preferred Income Fund, Inc. was formed on June 27, 2003 and is domiciled in the United States.
HTD	John Hancock Tax Advantaged Dividend	0	0	4	#{}	#{}	#{"utilities" "United States" "Utilities"}	John Hancock Tax-Advantaged Dividend Income Fund is a closed ended equity mutual fund launched and managed by John Hancock Investment Management LLC. It is co-managed by John Hancock Asset Management and Analytic Investors, LLC. The fund invests in the public equity markets of the United States. It seeks to invest in stocks of companies operating across diversified sectors, with an emphasis on the utilities sector. The fund primarily invests in dividend-paying common and preferred stocks of companies which have dividends that qualify for a more favorable long-term capital gains tax rate. It invests in stocks of companies across diversified market capitalizations. The fund benchmarks the performance of its portfolio against a composite benchmark comprised of 55% Bank of America Merrill Lynch Preferred Stock DRD Eligible Index and 45% S&P 500 Utilities Index. John Hancock Tax-Advantaged Dividend Income Fund was formed on February 27, 2004 and is domiciled in the United States.
SCD	Lmp Capital and Income Fund Inc	0	0	4	#{}	#{}	#{"energy" "United States" "real estate"}	LMP Capital and Income Fund Inc. is a closed ended balanced mutual fund launched and managed by Legg Mason Partners Fund Advisor, LLC. It is co-managed by Clearbridge Investments, LLC, Western Asset Management Company Limited, and Western Asset Management Company. The fund invests in public equity and fixed income markets across the globe. It seeks to invest in securities of companies operating across diversified sectors. The fund primarily invests in stocks of large-cap companies, intermediate period corporate bonds and notes rated at least A-, energy and non-energy master limited partnerships, and real estate investment trusts. It focuses on such factors as economic, market, or political conditions, fiscal and monetary policy, and security valuation to create its portfolio. The fund benchmarks the performance of its portfolio against the U.S. Aggregate Index and S&P 500 Index. It was formerly known as Salomon Brothers Capital and Income Fund Inc. LMP Capital and Income Fund Inc. was formed on November 12, 2003 and is domiciled in the United States.
GB	Global Blue Group Holding Ag	0	0	4	#{}	#{}	#{"technology" "Technology" "Switzerland"}	Global Blue Group Holding AG provides strategic technology and payments partner services to merchants worldwide. The company operates through two segments, Tax Free Shopping Technology Solutions (TFSS) and Added-Value Payment Solutions (AVPS). It operates a technology platform that serves a network of approximately 400,000 merchant stores. The company offers merchants a range of in-store issuing software solutions to their needs, as well as pre- and post-transaction services to attract and serve international shoppers; and AVPS, including point-of-sale dynamic currency conversion (DCC) services for the retail and hospitality sectors, as well as e-commerce dynamic currency conversion solutions, services, and software for automated teller machines and multi-currency processing for online merchants. It also provides services to international shoppers to reclaim VAT on eligible goods purchased outside their country of origin; and pay for goods and services abroad in their home currency through DCC services. The company was incorporated in 2019 and is based in Wangen-BrÃ¼ttisellen, Switzerland. Global Blue Group Holding AG is a subsidiary of SL Globetrotter, L.P.
AMK	Assetmark Financial Holdings Inc	0	0	4	#{}	#{}	#{"technology" "United States"}	AssetMark Financial Holdings, Inc. provides wealth management and technology solutions in the United States. The company offers an open-architecture product platform, as well as client advice, asset allocation options, practice management, support services, and technology to the financial adviser channel. It provides integrated technology platform for advisers new account opening, portfolio construction, streamlined financial planning, customer billing, investor reporting, progress to goal analysis, and client activity tracking; advisory services; and curated investment platform. The company also offers mutual funds to clients of financial advisers; custodial recordkeeping services primarily to investor clients of registered investment advisers; record-keeper and third-party administrator services for retirement products; wealth management services for institutional and individual investors; and insurance services on an intermediary basis. It serves independent advisers who provide wealth management advice to the U.S. investors. The company was founded in 1996 and is headquartered in Concord, California. AssetMark Financial Holdings, Inc. operates as a subsidiary of Huatai International Investment Holdings Limited.
STPK	Star Peak Energy Transition Corp Cl A	0	0	4	#{}	#{}	#{"Energy"}	Star Peak Energy Transition Corp. focuses on effecting a merger, capital stock exchange, asset acquisition, stock purchase, reorganization, or similar business combination with one or more businesses. Star Peak Energy Transition Corp. was formerly known as Star Peak Energy Acquisition Corp. and changed its name to Star Peak Energy Transition Corp. The company was incorporated in 2018 and is based in Evanston, Illinois.
TCI	Transcontinental Realty Investors	0	0	4	#{}	#{}	#{"real estate"}	Transcontinental Realty Investors, Inc., a Dallas-based real estate investment company, holds a diverse portfolio of equity real estate located across the U.S., including apartments, office buildings, shopping centers, and developed and undeveloped land. The Company invests in real estate through direct ownership, leases and partnerships and invests in mortgage loans on real estate.
ARR	Armour Residential R	0	0	4	#{}	#{}	#{"United States" "real estate"}	ARMOUR Residential REIT, Inc. invests in residential mortgage backed securities in the United States. The company's securities portfolio primarily consists of the United States Government-sponsored entity's (GSE) and the Government National Mortgage Administration's issued or guaranteed securities backed by fixed rate, hybrid adjustable rate, and adjustable rate home loans, as well as unsecured notes and bonds issued by the GSE and the United States treasuries; and money market instruments. It also invests in other securities backed by residential mortgages for which the payment of principal and interest is not guaranteed by a GSE or government agency. The company has elected to be taxed as a real estate investment trust under the Internal Revenue Code. As a result, it would not be subject to corporate income tax on that portion of its net income that is distributed to shareholders. ARMOUR Residential REIT, Inc. was founded in 2008 and is based in Vero Beach, Florida.
