symbol	company	yayk	nayk	mayk	wyay	wnay	wmay	desc
RITT	RiT Technologies Ltd.	1	0	2	#{"environmental"}	#{}	#{"technology" "Israel"}	RiT Technologies Ltd. provides intelligent infrastructure management (IIM) and indoor optical wireless technology solutions worldwide. The company's IIM products enhance security and network utilization for data centers, communication rooms, and work space environments. Its enterprise solutions include PatchView hardware, which is offered in a cross connect topology; CenterMind data center management software that supports the monitoring of power distribution units, and environmental parameters in data centers; and SMART Cabling System, a structured network infrastructure solution designed for copper and fiber cabling environments. It also offers Beamcaster, an indoor wireless optical solution that allows high-speed, high-bandwidth transmission through optical signals between the central station and the user station. The company's solutions are deployed in a range of organizations, including data centers in the private sector, government agencies, financial institutions, airport authorities, healthcare, and education institutions. RiT Technologies Ltd. markets its products through independent distributors, resellers/integrators, original equipment manufacturers, and other strategic alliance partners with companies. The company was founded in 1989 and is headquartered in Tel Aviv, Israel. RiT Technologies Ltd. operates as a subsidiary of Stins Coman Incorporated.
CIBN	Community Investors Bancorp, Inc.	1	0	1	#{"health"}	#{}	#{"real estate"}	Community Investors Bancorp, Inc. operates as a thrift holding company for First Federal Community Bank of Bucyrus that provides banking and financial services to individual and corporate customers in northern Ohio. The company offers checking and business checking plus accounts; savings and investment accounts, such as health savings, statement savings, Christmas club, time deposit, individual retirement, and insured money market accounts, as well as merchant and direct deposit services; and other services, including Internet and telephone banking, debit card, night depository, notary, and safe deposit box services. It also provides consumer loans, including personal, auto, home equity, and home improvement loans; commercial loans comprising real estate, term, business expansion, construction, and SBA loans; and mortgages. In addition, the company offers financial planning and investment advice services. Community Investors Bancorp, Inc. was founded in 1888 and is based in Bucyrus, Ohio.
CTXV	CTX Virtual Technologies, Inc.	1	0	2	#{"Canada"}	#{}	#{"technology" "Technology"}	CTX Virtual Technologies, Inc. manufactures and sells mobile communication and electronic devices. The company, through its subsidiary, Kaibida International Limited, designs and manufactures printed circuit boards, surface mounted technology components, and cellular telephones, including Smartphones and PDAs to network operators and original equipment manufacturers. Its other subsidiary, Celluon Technology Holdings Ltd., is involved in the manufacture and sale of virtual 3-D electronic perception products, including proprietary stand-alone external virtual keyboard for Smartphones and Pads. The company also manufactures and sells the MiSeeTX mini-computer, a fully functioning small computer incorporating various virtual input and output technologies while running the Windows XP, Android, or Windows 7 platforms. In addition, it provides virtual projection products, such as the virtual keyboards used in hospitals and medical clinics to prevent the spread of bacteria and viruses. CTX Virtual Technologies, Inc. is based in Boca Raton, Florida with offices in Hong Kong; Toronto, Canada; and Las Vegas, Nevada.
WOWI	Metro One Telecommunications, Inc.	1	0	0	#{"Oregon"}	#{}	#{}	Metro One Telecommunications, Inc. provides call center and data management services. Its services include inbound and outbound contact services, data and analytics, and related services. Metro One Telecommunications, Inc. was founded in 1989 and is headquartered in Beaverton, Oregon.
GWSN	Gulf West Security Network, Inc.	1	0	1	#{"systems"}	#{}	#{"United States"}	Gulf West Security Network, Inc., together with its subsidiaries, engages in the design, engineering, installation, remote monitoring, and after-market servicing of electronic intrusion alert and fire detection systems for homes and businesses in the United States. The company is based in Lafayette, Louisiana.
QSAM	QSAM Biosciences, Inc.	1	0	2	#{"reclamation"}	#{}	#{"agriculture" "United States"}	QSAM Biosciences, Inc., together with its subsidiary, engages in the manufacture and sale of compost and engineered soils from waste resources in the United States. Its products are used in the agriculture, horticulture, construction, landscape, site restoration, sod and turf, Silviculture and land reclamation, and infrastructure sectors. The company was formerly known as Q2Earth, Inc. and changed its name to QSAM Biosciences, Inc. in September 2020. QSAM Biosciences, Inc. was founded in 2004 and is based in Palm Beach, Florida.
JCDAF	Jacada Ltd.	1	0	2	#{"systems"}	#{}	#{"Technology" "Israel"}	Jacada Ltd. develops, markets, and supports customer experience management and robotic process optimization solutions that automate customer service processes in North America, Europe, Asia, the Middle East, Africa, and internationally. Its products include Jacada WorkSpace Agent Desktop, which unifies customer interaction tools and provides a single access point to various mission-critical applications for customer service representatives; Jacada Visual interactive voice response that enables end users to engage in a mobile self-service sessions; and Jacada Intelligent Assistant, a virtual customer assistant that allows end users to engage in an automated conversation to answer their questions and complete transactions on their behalf. The company's products also comprise Jacada Advisor, which helps call centers enhance customer service by providing real-time agent guidance; Jacada Integration and Automation, a solution that allows companies to Web-enable and integrate their Microsoft Windows client/server and Web-based applications without modifying or changing existing applications; Jacada Agent Guidance, which guides the customer service agent through an optimized interaction with the customer; Jacada Workflow that creates business process management workflows; Jacada HostFuse, a software solution for integrating core host-centric business systems; Jacada Interface Server, which generates graphical user interfaces for mainframe and midrange software applications without changing the host applications; and Jacada Multi-Channel Agent Desktop for voice, email, and chat. In addition, it offers training, consulting, and product support and maintenance services. Jacada Ltd. sells its products directly, as well as through system integrators, partners, and call center outsourcers. The company was formerly known as Client/Server Technology Ltd. and changed its name to Jacada Ltd. in August 1999. Jacada Ltd. was founded in 1990 and is headquartered in Herzliya, Israel.
WCCP	Wealthcraft Capital, Inc.	1	0	0	#{"Systems"}	#{}	#{}	Wealthcraft Capital, Inc. focuses on the investment of capital in private companies that are interested in expanding their business by gaining better access to capital, management consulting, and business development. The company was formerly known as Wealthcraft Systems, Inc. and changed its name to Wealthcraft Capital, Inc. in February 2017. Wealthcraft Capital, Inc. was founded in 2003 and is based in Los Angeles, California.
ZMGD	Zamage Digital Art Imaging, Inc.	1	0	0	#{"Systems"}	#{}	#{}	Zamage Digital Art Imaging, Inc., through its subsidiaries, offers indoor/outdoor signage and software solutions. It develops Parasign Systems that allows clients to create their own signage online. The company offers software solutions and professional service for various industries, including banking, education, manufacturing, etc. Zamage Digital Art Imaging, Inc. was founded in 1999 and is based in Henderson, Nevada.
PLPRF	Plus Products Inc.	1	0	0	#{"Canada"}	#{}	#{}	Plus Products Inc. develops, manufactures, and sells cannabis products in California. It offers cannabis-infused edibles to the regulated medicinal and adult-use, or recreational markets. The company sells products under the PLUS brand to dispensaries and delivery service customers. Plus Products Inc. was incorporated in 2018 and is headquartered in Vancouver, Canada.
PONT	Pontiac Bancorp, Inc.	1	0	1	#{"health"}	#{}	#{"real estate"}	Pontiac Bancorp, Inc. operates as the bank holding company for Bank of Pontiac that provides various financial services to individuals and businesses in Livingston county, Grundy county, and their surrounding communities. The company accepts various deposit products, such as checking, savings, and money market accounts; and certificates of deposit. Its loan products include mortgage and consumer loans; commercial loans, including start-up, expansion, real estate acquisition, operating expense, debt consolidation, machinery/equipment, inventory, and short and long term business loans, as well as seasonal lines of credit; small business administration loans; and agricultural loans. The company also offers debit/ATM and credit cards; investment and trust solutions; and direct deposit, automatic funds transfer, ACH origination, bill pay, wire transfers, travelers checks, coin counting, notary, title transfers, safe deposit box, cash advance, guarantee, night depository, and online and mobile banking services. In addition, it provides mortgage life and disability, credit life, and accident and health insurance products. The company was founded in 1947 and is based in Pontiac, Illinois.
FIEC	Frontier National Corp.	1	0	1	#{"health"}	#{}	#{"real estate"}	As of March 8th, 2013 Frontier National Corporation went out of business. Frontier National Corporation operates as a holding company for Frontier National Bank, which provides retail and commercial banking services in central Alabama and westcentral Georgia. It provides time deposits, and checking, savings, negotiable order of withdrawal, and money market accounts; offer business, real estate, personal uses, home improvement, and automobiles loans. The bank also provides letters of credit; discount brokerage services, credit cards, and individual retirement accounts; safe deposit box rentals; bank money orders; and electronic funds transfer services, including wire transfer and automated teller machines. In addition, the company, through its other subsidiaries, offers credit life, accident, and health insurance products, as well as acts as an agent for carriers of other types of insurance. The bank operates through the branches located in Childersburg, Vincent, Chelsea, Lanett, Valley, and Auburn in Alabama. Frontier National was organized in 1997 and is based in Sylacauga, Alabama.
APCX	AppTech Corp.	1	0	2	#{"systems"}	#{}	#{"technology" "United States"}	AppTech Corp., a financial technology company, provides electronic payment processing technologies and merchant services in the United States. Its merchant services offer financial processing for businesses to accept cashless payments, such as credit cards, automatic clearing house, and wireless payments. The company focuses on expanding its merchant processing services to include enterprise-grade, patent protected software and intellectual property for secure short message system, payments, and advanced text messaging to transact mobile payments through secure text messaging based on secure multi-factor authentication to receive payments. It also offers solutions for mobile payment processing, payment facilitation, digital marketing, software and mobile app development, and website development and hosting services. In addition, the company provides cloud services to business clients. AppTech Corp. has a strategic partnership agreement with Silver Alert Services LLC to provide advanced technological solutions for the telehealth and personal emergency response systems markets. The company was founded in 1998 and is headquartered in Carlsbad, California.
GHTI	G-H-3 International Inc.	1	0	0	#{"health"}	#{}	#{}	G-H-3 International Inc. develops products for addressing factors, which cause aging and deterioration in the body. Its product, G-H-3-Plus is a comprehensive protocol that promotes anti-aging, treat chronic disease, and improve health and vitality. The G-H-3-Plus protocol includes a combination of intravenous treatment, intramuscular injections, prescriptions, vitamins, and skin care products. The company was formerly known as The Chelsea Collection, Inc. and changed its name to G-H-3 International Inc. G-H-3 International, Inc. is based in Las Vegas, Nevada.
MLCG	ML Capital Group, Inc.	1	0	1	#{"clean"}	#{}	#{"tobacco"}	ML Capital Group, Inc. produces products and provides services that support the medical marijuana industry. It is producing and marketing its products and services under the Superstar Products brand name, including vapor pens, mobile applications, and books. The company offers SUPERSTAR MMJ DISPENSARIES APP, a smartphone application that provides location based on services and detailed information on medical marijuana dispensaries; SUPERSTAR VAPOR PEN, an vapor smokeless devise, which enables consumers to consume tobacco, wax, or liquid form in clean and safer manner; and SUPERSTAR MMJ RECIPE BOOK, which enables consumers to create various meals, drinks, and sweets favorites with recipe book. ML Capital Group, Inc. was founded in 2009 and is based in Fountain Hills, Arizona.
CURN	Currency Exchange International, Corp.	1	0	1	#{"Canada"}	#{}	#{"United States"}	Currency Exchange International, Corp. provides currency exchange and related products in the United States and Canada. Its services include foreign currency exchange, international wire transfer and electronic payments, traveler's cheques, foreign check clearing, and issuing foreign bank drafts. The company serves financial institutions; money service businesses; retail customers; and corporate customers, which includes hotels, resorts, and tourist attractions. It operates a network of 43 branches. The company was founded in 1998 and is headquartered in Orlando, Florida.
ODYY	Odyssey Group International, Inc.	1	0	0	#{"health"}	#{}	#{}	Odyssey Group International, Inc. focuses on development, acquisition, and commercialization of medical products and health related technologies. It intends to offer medical devices. The company has development projects in three technologies, including CardioMap, a heart monitoring and screening device; Save A Life choking rescue device; and a neurosteroid drug compound intended to treat rare brain disorders. Odyssey Group International, Inc. was founded in 2014 and is based in Irvine, California.
ELRA	Elray Resources, Inc.	1	0	2	#{"systems"}	#{}	#{"technology" "United States"}	Elray Resources, Inc., a technology company, owns and licenses gaming intellectual property, gaming content, gaming domains, and trademarks in the United States and internationally. It provides marketing tools and CRM systems for online gaming operators. The company is based in Las Vegas, Nevada.
UAHC	United American Healthcare Corporation	1	0	0	#{"natural"}	#{}	#{}	United American Healthcare Corporation, through its subsidiaries, provides contract manufacturing services to the medical device industry. It also focuses on the production of natural rubber. The company was incorporated in 1983 and is based in Chicago, Illinois.
ITCC	InsPro Technologies Corporation	1	0	2	#{"Health"}	#{}	#{"technology" "United States"}	InsPro Technologies Corporation, a technology company, which provides software applications for insurance administrators in the United States. It offers InsPro Enterprise software application, which is a web-based insurance administration software application for insurance carriers and third party administrators; and processes agent, direct market, worksite, and web site generated businesses. The company provides InsPro Enterprise on a licensed and an application service provider basis. In addition, it offers professional services, such as system implementation, legacy system migration, application management, web development, help desk, and hosting service support services. The company was formerly known as Health Benefits Direct Corporation and changed its name to InsPro Technologies Corporation in November 2010. InsPro Technologies Corporation was incorporated in 2004 and is based in Eddystone, Pennsylvania. InsPro Technologies Corporation is a subsidiary of Majesco.
ITHUF	iAnthus Capital Holdings, Inc.	1	0	1	#{"Canada"}	#{}	#{"United States"}	iAnthus Capital Holdings, Inc. develops, owns, and operates licensed cannabis cultivation, processing, and dispensary facilities in the United States. Its products include smokable flower and pre-rolls; concentrates, such as vaporizer cartridges, wax products, tinctures, topicals, etc.; cannabis infused edibles; and various cannabidiol (CBD) products. The company also distributes and retails CBD products to dispensaries and retail stores, as well as online. As of July 31, 2020, it operated 36 dispensaries in 11 states. The company is based in Vancouver, Canada.
ATGN	Altigen Communications, Inc.	1	0	0	#{"systems"}	#{}	#{}	Altigen Communications, Inc., a Microsoft Cloud Solutions provider, designs, delivers, and supports Voice over Internet Protocol (VoIP) phone systems and call center solutions worldwide. The company offers MaxCommunications Server (MaxCS) IP-PBX, a software-based phone system that provides customers with business communications solutions; MaxACD VoIP Contact Center, a software-based automatic call distribution engine, which offers call routing and call distribution options; MaxMobile that extends a set of business PBX functionality to smart phone devices; and MaxCommunicator, a Windows-based desktop application, which provides call control and visual voice mail management to the desktop. It also offers MaxAgent, a Windows-based desktop application to bring call control and workgroup information to call center agents; MaxSupervisor, a Windows-based desktop application for call center supervisors; and MaxACD for Lync, a call center solution. In addition, the company provides hosted services, which include hosted IP PBX, session initiation protocol trunk, call center solution, voice and video calling, conference calling, and various long-distance services; and software assurance services, which offer customers with software updates, patches, new releases, and technical support for the applications they are licensed to use. It sells its products to small-to-medium sized and multi-site businesses, corporate branch offices, call centers, credit unions, and community banks through a channel of distributors and resellers. The company was founded in 1994 and is headquartered in Milpitas, California.
IVDA	Iveda Solutions, Inc.	1	0	2	#{"systems"}	#{}	#{"food" "United States"}	Iveda Solutions, Inc. develops and sells software as a service video surveillance management platform under Sentir name in the United States and internationally. Its Sentir platform consists of surveillance software, cloud management software, servers, storage, and networking protocols that enables real-time viewing and recorded playback of video on computers and mobile devices with push notifications and alerts for the distribution of hosted video surveillance services. The company also sells Sentir-enabled plug-and-play cloud cameras under Zee brand name, and an in-vehicle streaming video surveillance system under VEMO brand name to telecommunications companies, Internet service providers, data centers, and cable companies. In addition, it also provides real-time Internet protocol video hosting and remote surveillance services; and deploys video surveillance systems for banks, storage facilities, homeowners associations, law enforcement, food processing plants, public pools and parks, and government agencies, as well as airports, commercial buildings, data centers, shopping centers, and hotels. The company was formerly known as Iveda Corporation and changed its name to Iveda Solutions, Inc. in December 2010. Iveda Solutions, Inc. is headquartered in Mesa, Arizona.
EDMCQ	Education Management Corporation	1	0	1	#{"health"}	#{}	#{"technology"}	Education Management Corporation provides post-secondary education in North America. It offers academic programs to students through campus-based and online instruction to earn undergraduate and graduate degrees, and various specialized non-degree diplomas in a range of disciplines comprising business, culinary, design, education, fashion, health sciences, information technology, legal, media arts, and psychology and behavioral sciences. The company was founded in 1962 and is headquartered in Pittsburgh, Pennsylvania. On June 29, 2018, Education Management Corporation filed a voluntary petition for liquidation under Chapter 7 in the U.S. Bankruptcy Court for the District of Delaware. It is in joint administration with The Art Institute Of Philadelphia Limited Partnership.
RWWI	Rand Worldwide, Inc.	1	0	2	#{"Canada"}	#{}	#{"technology" "United States"}	Rand Worldwide, Inc. provides design automation and data management solutions for the manufacturing, building design, engineering, infrastructure, and facilities management markets primarily in the United States and Canada. It operates in four divisions: IMAGINiT Technologies, Rand 3D, Enterprise Applications, and ASCENT Â– Center for Technical Knowledge. The company resells packaged design software, including Autodesk 2D and 3D computer aided design software for customers in the mechanical, architectural, and civil engineering sectors, as well as visualization and animation technology to companies in the media and entertainment industry; Autodesk data management software; and Archibus facilities management software for space planning, strategic planning, and lease/property administration. It also resells 3DExperience design software products; Leica 3D laser scanning equipment for the architectural, engineering, and construction sector; and ASCENT, a courseware for various engineering applications. In addition, the company offers professional services, including project-focused software implementations, software customization, data migration, computer aided design standards consulting, supplemental design staffing, drawing digitization, symbol library development, computational fluid dynamics analysis consulting, and thermal simulation, as well as training, technical support, and other consulting and professional services. It serves private companies, public corporations, government agencies, and educational institutions. Rand Worldwide, Inc. is headquartered in Baltimore, Maryland.
WCRS	Western Capital Resources, Inc.	1	0	1	#{"Seed"}	#{}	#{"United States"}	Western Capital Resources, Inc., through its subsidiaries, engages in the retail business in the United States. The company operates through Cellular Retail, Direct to Consumer, and Consumer Finance segments. The Cellular Retail segment operates as a Cricket dealer selling cellular phones and accessories; and provides ancillary services, as well as accepts service payments from customers. This segment's Cricket retail stores offer various products and services, including cricket wireless service plans; cricket wireless plan upgrades, as well as Deezer, an independent music service; and Cricket handsets and accessories. The Direct to Consumer Segment engages in the online and direct marketing distribution retail of live plants, seeds, holiday gifts, and garden accessories under the Park Seed, Jackson & Perkins, and Wayside Gardens brands, as well as wholesale under the Park Wholesale brand. It also provides home improvement and restoration products under the Van Dyke's Restorers brand through the Vandykes.com site and direct mail catalogs. The Consumer Finance segment offers sub-prime short-term uncollateralized non-recourse cash advance and installment loans, check cashing, and other money services; and owns and operates retail pawn stores. As of March 31, 2019, it owned and operated 222 cellular retail stores; 38 payday stores in Iowa, Kansas, Nebraska, North Dakota, Wisconsin, and Wyoming; and 3 pawn stores in Nebraska and Iowa. The company is headquartered in Omaha, Nebraska.
XFCH	X-Factor Communications Holdings, Inc.	1	0	2	#{"Organic"}	#{}	#{"United States" "real estate"}	X-Factor Communications Holdings, Inc. provides interactive digital media network software and services in the United States. The company's flagship application include Digital Screen Control Portal, an interactive real-time digital media communications and broadcast platform that delivers single point publishing of emergency mass notifications, alerts, and rich informational content to various IP endpoint/device. Its solutions also comprise Corporate Communications Control Center, a platform for multi-media, multi-channel, and multi-dimensional internal and external corporate communications; and Marketing and Advertising Control Center for digital media network owners. In addition, the company's products consist of enterprise desktop, storefront and DMAX, multimedia player, and interactive kiosks services. Further, it offers various services consisting of creative services; a suite of professional grade digital media services, including digital media application development, live event production, content creation and management; and digital media Webcasting services that deliver compelling digital media content supporting corporate communications, marketing events, e-commerce, and information distribution services. The company serves healthcare, education, enterprise, transportation, advertising, real estate, retails, public venue, banking and financial, and other sectors. The company was formerly known as Organic Spice Imports, Inc. and changed its name to X-Factor Communications Holdings, Inc. in May 2012. The company was founded in 2005 and is based in Lyndhurst, New Jersey.
NMEHF	Nomura Real Estate Holdings, Inc.	1	0	5	#{"fitness"}	#{}	#{"Real Estate" "real estate"}	Nomura Real Estate Holdings, Inc. operates as a real estate company in Japan and internationally. The company develops, leases, and manages office buildings, commercial facilities, logistics facilities, and hotels; develops and sells condominiums and houses; operates housing with services for the elderly; develops rental properties; provides Internet advertising services for housing and living assistance services; provides asset management services for real estate securitization, including REITs and private placement funds and securities funds; and provides real estate brokerage and consulting, insurance agency, and real estate information Website management services. The company also engages in the management of properties, such as condominiums, office buildings, and educational facilities; provision of renovation and repair work for tenants; remodeling of condominiums and housing; and provision of cleaning services for condominiums and office buildings. In addition, it participates in, promotes, and supports urban development projects and reconstruction of housing complexes; and manages fitness clubs. The company was founded in 2004 and is headquartered in Tokyo, Japan.
SOFT	SofTech, Inc.	1	0	2	#{"systems"}	#{}	#{"technology"}	SofTech, Inc. develops, markets, distributes, and supports computer aided design (CAD), and product data management and collaboration computer solutions for the product lifecycle management (PLM) industry primarily in North America, Europe, and Asia. The company offers ProductCenter, a collaborative PLM solution, which manages the engineering data and electronic files of discrete parts designed in various used third party proprietary design technologies; delivers a combination of document management, design integration, configuration control, change management, bill of materials management, and integration capability with other enterprise-wide systems; enables secure management of product information; and allows engineers and the design chain to manage, share, modify, and track product data and documents in the product development lifecycle. Its ProductCenter technology also allows employees, customers, suppliers, and other team members to securely exchange product information while maintaining a centralized database of critical product data; and enables integration with other business applications, such as enterprise resource planning, supply chain management, and customer relationship management for data exchange across the product lifecycle. In addition, the company offers Connector platform, a technology that allows for a direct interface between Aras Corporation's Innovator solution and CAD products. SofTech, Inc. markets and distributes its products and services primarily through a direct sales force and its service organization, as well as through resellers. The company was founded in 1969 and is headquartered in Lowell, Massachusetts.
KOGL	Kopp Glass, Inc.	1	0	2	#{"aerospace"}	#{}	#{"energy" "United States"}	Kopp Glass, Inc. manufactures and sells molded glass products in the United States. The company offers various technical, industrial, and commercial glass products, such as custom glass solutions; airfield taxiway, runway, and obstruction lighting products; exterior aircraft lighting products; fresnel and prismatic lenses; colored filter glass products; night vision compatible filter glass products; heat absorbing medical glass lenses; traffic, railroad, and signal lenses; prisms and optics; sight glass products; and roundels and cover glass products. It serves various industries, including aerospace and defense, general lighting, energy and power distribution, and safety and signal lighting, as well as industrial, scientific, and medical equipment. The company was founded in 1926 and is based in Pittsburgh, Pennsylvania.
USBC	US BioTec, Inc.	1	0	6	#{"produce"}	#{}	#{"agriculture" "United States" "golf" "lawn" "US"}	US BioTec, Inc. engages in the development, manufacture, marketing, and distribution of bio-degradable, nontoxic, and noncarcinogenic products in the United States. Its product portfolio consists of approximately 30 products, which stimulate plants that produce crops; correct microbial and mineral problems present in soils; and rehabilitate the soil ecosystem by breaking down the residual build-up of toxic insecticides, herbicides, fungicides, and synthetic fertilizers. The company provides its products for agriculture, commercial turf industry, forestry, golf courses, professional landscapers, nurseries and mass market retail lawn, and garden markets. US BioTec, Inc. is based in Gleason, Tennessee.
WHSPF	Whispir Limited	1	0	3	#{"systems"}	#{}	#{"Australia" "Switzerland"}	Whispir Limited develops and provides communications management systems through cloud-based platform in the Americas, Australia, New Zealand, Singapore, Switzerland, and internationally. It enables the integration of smart applications and micro communications services into existing workflow solutions to automate specific areas of business critical communications across mobile/email/voice/social/web. The company was founded in 2001 and is based in Melbourne, Australia.
HSSHF	Digihost Technology Inc.	1	0	7	#{"Canada"}	#{}	#{"technology" "mining" "Technology"}	Digihost Technology Inc. operates as a blockchain technology company. It has operations in cryptocurrency mining for its own account, as well as providing hosting services to cryptocurrency mining customers. The company was formerly known as HashChain Technology Inc. and changed its name to Digihost Technology Inc. in February, 2020. Digihost Technology Inc. was incorporated in 2017 and is headquartered in Vancouver, Canada.
