symbol	company	yayk	nayk	mayk	yay	nay	may	desc
FNP.AX	Freedom Nutritional Products Ltd	8	6	9	clojure.lang.LazySeq@ec68dd16	clojure.lang.LazySeq@80f163e5	clojure.lang.LazySeq@32535a4e	Freedom Foods Group Limited engages in sourcing, manufacture, selling, marketing, and distribution of plant-based beverages, and dairy and nutritional ingredient products to wholesale and consumer markets. It operates through Dairy and Nutritional, Plant Based Beverages, Cereal and Snacks, and Specialty Seafood segments. The company offers gluten free, allergen free, nutritional oat based, low sugar or salt, fortified, or functional products, including breakfast cereals, snack bars, and other related products. It also provides dairy milk beverage and nutritional ingredient products; UHT food and beverage products, such as liquid stocks, soy, rice, and almond beverages; performance and adult nutritional products comprising powders, bars, and drinks, as well as on the go beverages; and canned seafood products that include sardines, salmon, and specialty seafood. In addition, the company offers popping corn, yellow maize and derivatives, white maize and derivatives, rice flour, sorghum flour, and specialty gluten-free flours; and invests in dairy farming operations. It provides its products under the Messy Monkeys, Heritage Mill, Brekky Heroes, Freedom Foods, Barley+, Arnold's Farm, Crankt Protein, Australia's Own, MILKLAB, Simply White, So Natural, Almond Breeze, Australia's Own Organic, Brunswick, Paramount, Vital Life, UPPROTEIN, and Vital Strength brand names. The company operates in in Australia, New Zealand, South Africa, China, South East Asia, and the Middle East. The company was founded in 1986 and is headquartered in Taren Point, Australia. Freedom Foods Group Limited is a subsidiary of Arrovest Pty Limited.
CCE.AX	Clinical Cell Culture Ltd	8	0	12	clojure.lang.LazySeq@164923aa	clojure.lang.LazySeq@1	clojure.lang.LazySeq@7ea5c789	Carnegie Clean Energy Limited develops and commercializes the CETO wave energy technology for converting ocean wave energy into zero-emission electricity worldwide. It also produces and sells clean renewable energy using solar and associated battery systems to the Department of Defense. Carnegie Clean Energy Limited has collaboration agreement with Hewlett Packard Enterprise Company to develop a reinforcement learning based controller for the CETO wave energy technology. The company was formerly known as Carnegie Wave Energy Limited and changed its name to Carnegie Clean Energy Limited in December 2016. Carnegie Clean Energy Limited was incorporated in 1987 and is headquartered in North Fremantle, Australia.
EBO.AX	Ebos Group Limited	7	10	2	clojure.lang.LazySeq@46cba1cc	clojure.lang.LazySeq@d3f0958c	clojure.lang.LazySeq@e3952fc1	EBOS Group Limited engages in the marketing, wholesale, and distribution of healthcare, medical, pharmaceutical, consumer, and animal care products in Australia and New Zealand. It operates in two segments, Healthcare and Animal Care. The company provides healthcare logistics; medication management solutions; pharmacy management software; loyalty, generics, compliance, business intelligence, and store software services; and multi-brand retail pharmacy services. It also offers vitamins, minerals and supplements, herbal and fruit teas, and natural toothpastes, as well as functional foods, including molasses and manuka honey; community based health care services and programs; Pharmacy Choice, a five step integrated retail program for independent pharmacies; and healthSAVE, a community pharmacy banner that allows members drive their retail businesses. In addition, the company supplies health and wellness products public and private hospitals, day surgeries, general practice, aged care facilities, specialist clinics, government, and non-profit health agencies, as well as clinically essential products; and pharmacy services to private and public hospitals, cancer centers, correctional facilities, and veterinary clinics. Further, it offers contract logistics services, such as healthcare distribution, warehousing, clinical trial management, and product registration services; and clinical trial logistics. Additionally, the company provides pet nutrition products, treats, clean-up products, grooming, and accessories; and wholesales veterinary products for companion animals, production animals, and equine athletes. The company was formerly known as Early Bros Dental & Surgical Supplies Ltd. and changed its name to EBOS Group Limited in 1986. EBOS Group Limited was founded in 1922 and is headquartered in Docklands, Australia.
NHF.AX	Nib Holdings Ltd	7	0	2	clojure.lang.LazySeq@a921e09b	clojure.lang.LazySeq@1	clojure.lang.LazySeq@e3952fc1	nib holdings limited, together with its subsidiaries, underwrites and distributes health insurance to residents, and international students and visitors in Australia, New Zealand, and internationally. It operates through Australian Residents Health Insurance, New Zealand Residents Health Insurance, International (Inbound) Health Insurance, and nib Travel segments. The company offers health insurance products, including single, couples, and family health insurance; life insurance; travel insurance; and funeral and income protection insurance services, as well as health insurance for international workers. nib holdings limited was founded in 1952 and is headquartered in Newcastle, Australia.
NEW.AX	New Energy Solar	7	0	4	clojure.lang.LazySeq@3dc95e90	clojure.lang.LazySeq@1	clojure.lang.LazySeq@822ac3e9	New Energy Solar Limited acquires, owns and manages large scale solar generation facilities. The firm may also invest in other renewable energy assets including wind, geothermal, hydro-electricity, hybrid solutions and owns and manages large scale solar generation facilities. New Energy Solar Limited was established in 2015 and is based in Sydney, Australia.
SKN.AX	Skansen Holdings	7	0	1	clojure.lang.LazySeq@af02f9c8	clojure.lang.LazySeq@1	clojure.lang.LazySeq@af1ca97f	Skin Elements Limited, a skin care company, engages in developing and commercializing natural and organic skin care products. The company focuses on marketing its Sol̩o Organics brand of natural and organic sunscreen products. It is also developing products under the Elizabeth Jane Natural Cosmetics name; natural pawpaw based PapyaActivs therapeutics range under the McArthur Skincare name; and SkinEssience natural skincare products. Skin Elements Limited was incorporated in 2015 and is based in West Perth, Australia.
GLH.AX	Global Health Ltd	7	0	3	clojure.lang.LazySeq@2aa47cfb	clojure.lang.LazySeq@1	clojure.lang.LazySeq@1ce30bed	Global Health Limited develops, sells, and supports application software for the healthcare sector primarily in Australia. It provides mental health software for psychologists and psychiatrists; and integrated software solutions for various areas of community health and human services, including drug and alcohol, disability, dental, post-acute care, home and community care, mental health services, and community rehabilitation. The company's products include MasterCare PAS, a patient administration system for appointment scheduling, theatre bookings, and bed management; MasterCare + for practice management, client record, patient engagement, referral management, secure messaging, and scanned medical records; PrimaryClinic, a medical and practice software for general practitioners, specialists, and allied health practitioners; ReferralNet, a message delivery system for information exchange; LifeCard to hold records and track progress. It also provides MasterCare MHAGIC that supports the workflow of mental health service providers; MasterCare Data Warehouse, which enables reporting, analysis, and decision support for managers and clinicians; HotHealth, a patient engagement platform; Patient Portal that directs information required from patients straight into electronic medical record system or PAS; and Altitude, a cloud hosting service. Global Health Limited was founded in 1985 and is headquartered in Melbourne, Australia.
CWY.AX	Cleanaway Waste Management Limited	7	1	3	clojure.lang.LazySeq@7dd6829a	clojure.lang.LazySeq@38c143b9	clojure.lang.LazySeq@8f40ea15	Cleanaway Waste Management Limited provides waste management, industrial, and environmental services in Australia. It operates through three segments: Solid Waste Services, Industrial & Waste Services, and Liquid Waste & Health Services. The company offers commercial and industrial, municipal, and residential collection services for various types of solid waste streams, including general waste, recyclables, construction, and demolition waste, as well as medical and washroom services. It is also involved in the ownership and management of waste transfer stations, resource recovery and recycling facilities, secure product destruction, quarantine treatment operations, and landfills; sale of recovered paper, cardboard, metals, and plastics; and collection, treatment, processing, and recycling of liquid and hazardous waste, including industrial waste, grease trap waste, oily waters, and used mineral and cooking oils in packaged and bulk forms. In addition, the company offers industrial solutions comprising industrial cleaning, vacuum tanker loading, site remediation, sludge management, parts washing, concrete remediation, CCTV, corrosion protection, and emergency response services. Further, it refines and recycles used mineral oils to produce fuel oils and base oils; generates and sells electricity produced utilizing landfill gas; and provides health and biohazardous waste, organic waste, e-waste recycling, industrial construction and cleaning, and equipment cleaning services, as well as spill kits. The company was formerly known as Transpacific Industries Group Ltd. and changed its name to Cleanaway Waste Management Limited in February 2016. Cleanaway Waste Management Limited was incorporated in 2002 and is headquartered in Melbourne, Australia.
TLT.AX	Tourism & Leisure Trust	7	0	7	clojure.lang.LazySeq@9107578d	clojure.lang.LazySeq@1	clojure.lang.LazySeq@34b37d87	Tilt Renewables Limited, together with its subsidiaries, develops, owns, and manages renewable energy generation assets. The company operates in two segments, Australian Generation and New Zealand Generation. It generates electricity from renewable energy sources, such as wind and solar energy. As of March 31, 2020, the company operated 266 MW of wind generation assets in Australia and 196 MW of wind generation assets in New Zealand. It also offers financial services; and trades in electricity and associated products from renewable energy sources. The company has strategic partnership with Genesis Energy. Tilt Renewables Limited was incorporated in 2016 is headquartered in Melbourne, Australia. Tilt Renewables Limited is a subsidiary of Infratil Limited.
CLQ.AX	Clean Teq Holdings Ltd	7	0	3	clojure.lang.LazySeq@d6d9b728	clojure.lang.LazySeq@1	clojure.lang.LazySeq@2af84d6b	Clean TeQ Holdings Limited, together with its subsidiaries, provides metals recovery and industrial water treatment services primarily in Australia. It operates in two segments, Water and Metals. The Water segment offers Continuous Ionic Filtration, Macroporous Polymer Adsorption, and Graphene Oxide and BIOCLENS resin technologies to filter, separate, purify, and recycle polluted water for drinking, agricultural, recreational, and industrial uses. The Metals segment provides Clean-iX resin technology for the extraction and purification of a range of resources, including base and precious metals, as well as radioactive elements, such as uranium. This segment is also involved in the development of the Sunrise project in New South Wales. Clean TeQ Holdings Limited was founded in 1990 and is based in Notting Hill, Australia.
WNB.AX	Wellness And Beauty Solutions Limited	7	0	2	clojure.lang.LazySeq@c964c344	clojure.lang.LazySeq@1	clojure.lang.LazySeq@e3952fc1	Wellness and Beauty Solutions Limited provides non-invasive and non-surgical cosmetic treatments in Australia. It operates through Clinical and Beauty Treatments and Sale of Wellness and Lifestyle Products segments. The Clinical and Beauty Treatments segment offers clinical, skin, and wellness services through a network of beauty and wellness clinics. The Sale of Wellness and Lifestyle Products segment develops, manufactures, and sells various beauty products. The company also offers hand sanitizers under the MICRO19 name. It sells its products to professionals and retail markets. The company was formerly known as Total Face Group Limited and changed its name to Wellness and Beauty Solutions Limited in November 2018. Wellness and Beauty Solutions Limited was incorporated in 2014 and is based in Cheltenham, Australia.
LV1.AX	Live Verdure Ltd	7	4	3	clojure.lang.LazySeq@61d926e2	clojure.lang.LazySeq@263ce121	clojure.lang.LazySeq@b8142a9b	Live Verdure Ltd develops hemp plant-based solutions in Australia. The company offers hemp seed oil, seed oil capsules, infused manuka honey, honey, drinking chocolate, seed, greens, chai powder, porridge with dried fruit, falafel, health booster, falafel spicy, porridge, flour, food, muesli, protein powder, and falafel lemon and pepper. It distributes its products under the 13 Seeds brand name. The company was formerly known as 13 Seeds Pty Ltd and changed its name to Live Verdure Ltd in October 2020. Live Verdure Ltd was incorporated in 2016 and is based in Melbourne, Australia.
AVE.AX	Aevum Ltd	6	6	9	clojure.lang.LazySeq@d517b07c	clojure.lang.LazySeq@534091d4	clojure.lang.LazySeq@988836d5	Avecho Biotechnology Limited, a biotechnology company, develops, produces, sells, and licenses products using its patented platform technology, Targeted Penetration Matrix (TPM) drug delivery system for the pharmaceutical, skin care, animal health, and nutrition industries. The company operates through Production, Human Health, and Animal Health and Nutrition segments. It offers TPM and Vital ET products for use in drug delivery and cosmetic formulations; and develops TPM/Oxymorphone and TPM/Oxycodone. The company's human health portfolio covers delivery of pharmaceutical products through gels, injectables, and patches. It provides non-antibiotic feed additive products to enhance feed efficiency and the health of livestock animals. The company serves customers in Australia, Switzerland, the United States, India, Japan, China, Singapore, and internationally. The company was formerly known as Phosphagenics Limited and changed its name to Avecho Biotechnology Limited in May 2019. Avecho Biotechnology Limited is based in Melbourne, Australia.
PGH.AX	Pact Group Holdings Ltd	6	8	2	clojure.lang.LazySeq@19d7021b	clojure.lang.LazySeq@4ecb4b6d	clojure.lang.LazySeq@e3952fc1	Pact Group Holdings Ltd manufactures and supplies rigid plastic and metal packaging in Australia, New Zealand, and internationally. The company operates through Packaging and Sustainability, Materials Handling and Pooling, and Contract Manufacturing Services segments. It primarily converts plastic resin and steel into packaging and related products for customers in the food, dairy, beverage, chemical, agricultural, industrial, and other sectors. The company offers packaging products for fresh food, chilled meat, frozen food, ready meals, baked goods, dairy products, juice and bottled water, and others for use in supermarkets, convenience stores, and fast food outlets; and sauces, edible oils, preserves, pancake mixes, flours, dry mixes, rice, fruit jars, and spreads, as well as household consumer products, including personal care, health, cleaning, and laundry products in supermarkets, pharmacies, health and beauty shops, and hardware stores. It also provides packaging solutions for agricultural chemicals, surface coatings, lubricants, and other petroleum products; handling solutions primarily for the transportation and storage of products using pallets, crates, and other containers; and infrastructure solutions, such as communication pits, hazard prevention products, noise walls, industrial tanks, and others primarily for the telecommunications, gas, and electrical industries, as well as various road and rail infrastructure projects. In addition, the company offers contract manufacturing services for home care, personal care, automotive, promotional packaging, and aerosol and liquid based consumer products in the non-food FMCG, and household and industrial chemicals sectors, as well as pharmaceutical and nutraceutical manufacturing, recycling, sustainability, and crate pooling services. Pact Group Holdings Ltd was founded in 2002 and is headquartered in Cremorne, Australia.
KTD.AX	Keytone Dairy Corporation Limited	6	13	2	clojure.lang.LazySeq@da2494a5	clojure.lang.LazySeq@8a4c38b4	clojure.lang.LazySeq@e3952fc1	Keytone Dairy Corporation Limited, together with its subsidiary, manufactures and exports dairy, health and wellness, and nutrition products in New Zealand and Australia. It offers powdered milk nutritional products, including whole milk powder, skim milk powder, colostrum milk powder, and kiwifruit milk powder under the KeyDairy brand name; and health supplement capsules for the treatment of acne and natural beauty products under the KeyHealth and FaceClear names. The company also provides contract manufacturing and packaging services for milk powders, sports nutrition products, and health products; food service products, such as yoghurt powder blends, ice cream powder blends, fruit smoothie blends, and milk shake powder blends; and animal nutrition powdered blends and special patient powder blends. It serves retailers, distributors, and industrial customers. The company also exports its products to China, Vietnam, Hong Kong, Taiwan, Malaysia, Japan, Korea, Australia, and the European Union. Keytone Dairy Corporation Limited was founded in 2011 and is headquartered in Christchurch, New Zealand.
AHX.AX	Apiam Animal Health Limited	6	11	3	clojure.lang.LazySeq@c69f11c1	clojure.lang.LazySeq@b4c1a98b	clojure.lang.LazySeq@2af84d6b	Apiam Animal Health Limited, a vertically integrated animal health company, provides veterinary products and services to production and companion animals in Australia. It operates through three segments: Dairy and Mixed, Feedlots, and Pigs. The company engages in the veterinary wholesale, warehousing, logistics, and other ancillary activities. Its products and services include systems to assist in herd health programs; production advisory services; consulting services and products to assist in the prevention of animal diseases; technologies to manage compliance with legislative requirements on pharmaceutical use; and advice and services in respect of animal welfare compliance, as well as on-farm delivery of products. The company also provides third party auditing services for industry quality assurance programs; ancillary services, such as the sale and/or delivery of genetics and associated products; on-farm and online training programs for clients; and payroll and transport services. In addition, it retails animal health products; and develops technology for animal health management. The company offers its services through production animal and mixed animal veterinary clinics. Apiam Animal Health Limited was founded in 1998 and is based in Bendigo, Australia.
GNE.AX	Genesis Energy Limited	6	3	7	clojure.lang.LazySeq@3d01fa1	clojure.lang.LazySeq@f54ce1c	clojure.lang.LazySeq@3273c4a7	Genesis Energy Limited generates, trades in, and sells electricity to residential and business customers in New Zealand. The company generates electricity from thermal, hydro, and wind sources. Its Retail segment supplies energy, including electricity, gas, and LPG to end-users, as well as provides related services. The company's Wholesale segment engages in the supply of electricity to the wholesale electricity market; supply of gas and LPG to wholesale customers and retail segment; and purchase and sale of derivatives to fix the price of electricity. Its Kupe segment is involved in the exploration, development, and production of gas and petroleum products; and supply of gas and LPG to the wholesale segment, and light oil. The company's generation asset portfolio includes the Huntly power station with a generation capacity of 953 MW; Tongariro Power Scheme that comprises three power stations with a generation capacity of 361.8MW; Waikaremoana Power Scheme, which include three power stations with a generation capacity of 138 MW; and Tekapo Power Scheme with a generation capacity of 179 MW; and Hau Nui wind farm with 15 wind turbines. It sells electricity, natural gas, and LPG to approximately 500,000 customers under the Genesis Energy and Energy Online brands. Genesis Energy Limited also offers solar power products and bottled LPG; and property rental services. The company was formerly known as Genesis Power Limited and changed its name to Genesis Energy Limited in September 2013. Genesis Energy Limited was incorporated in 1998 and is based in Auckland, New Zealand.
FIJ.AX	Fiji Kava Limited	5	1	3	clojure.lang.LazySeq@dc215c4	clojure.lang.LazySeq@556423ef	clojure.lang.LazySeq@15eb07fe	Fiji Kava Limited operates as a medicinal kava health and wellness company in Australia, Fiji, Hong Kong, New Zealand, and the United States. It sources, produces, markets, and sells noble kava extract capsules, instant powder mixes, and flavored shots under the Fiji Kava and Taki Mai brand names. The company offers its products through supermarkets, health professionals, health food stores, retail channels, and other health-related businesses, as well as operates fijikava.com e-commerce platform. Fiji Kava Limited was founded in 2014 and is based in West End, Australia.
GUD.AX	GUD Holdings Ltd	5	0	10	clojure.lang.LazySeq@2fdd47f6	clojure.lang.LazySeq@1	clojure.lang.LazySeq@9204e4e2	GUD Holdings Limited, through its subsidiaries, engages in the manufacture and importation, distribution, and sale of automotive products, pumps, pool and spa systems, and water pressure systems in Australia, New Zealand, and France. It operates through Automotive and Davey segments. The company offers automotive and heavy-duty filters for cars, trucks, and agricultural and mining equipment; and fuel pumps and associated products for the automotive after-market. It also provides pumping, water conservation, and water treatment products for urban, rural, irrigation, and commercial applications; domestic and commercial swimming pool products, including salt water chlorinators, pumps, filters, heaters, and pool accessories; and spa bath and spa pool pumps, controllers, heaters, filters, and water treatment products. GUD Holdings Limited was incorporated in 1958 and is based in Altona North, Australia.
APA.AX	Australian Pipeline Trust	5	2	6	clojure.lang.LazySeq@87cd58d	clojure.lang.LazySeq@a25ed001	clojure.lang.LazySeq@9e94c541	APA Group develops, owns, and operates natural gas transportation and energy infrastructure in Australia. The company operates through three segments: Energy Infrastructure, Asset Management, and Energy Investments. It operates natural gas pipelines, gas storage facilities, gas processing facilities, gas compression facilities, electricity transmission, electricity interconnectors, and renewable and gas fired power generation assets; and operates solar farms and wind farms. The company has interests in approximately 15,000 kilometers of gas transmission pipelines; approximately 29,500 kilometers of gas mains and pipelines; and 1.4 million gas consumer connections. It also provides commercial, operating, and asset maintenance services to its energy investments and third parties; and invests in unlisted entities. APA Group was founded in 2000 and is headquartered in Sydney, Australia.
AGL.AX	AGL Energy Limited	5	1	6	clojure.lang.LazySeq@480c7aae	clojure.lang.LazySeq@6d12f681	clojure.lang.LazySeq@7858d541	AGL Energy Limited provides energy and other services to residential, small and large business, and wholesale customers in Australia. It operates in four segments: Wholesale Markets, Customer Markets, Group Operations, and Investments. The company engages in generating electricity through thermal, hydro, wind, and solar power generation plants; gas storage activities; and the retail sale of electricity, gas, solar, and energy products and services. The company operates electricity generation portfolio of 11,208 megawatts; the Newcastle gas storage facility in New South Wales; the Silver Springs underground gas storage facility in Queensland; natural gas production assets at Camden in New South Wales; and the North Queensland gas assets. It serves 3.8 million customer accounts. AGL Energy Limited was founded in 1837 and is based in Sydney, Australia.
VUK.AX	Virgin Money Uk Plc	5	0	0	clojure.lang.LazySeq@d354b5	clojure.lang.LazySeq@1	clojure.lang.LazySeq@1	Virgin Money UK PLC provides banking products and services for consumers, and small and medium sized businesses under the Clydesdale Bank, Yorkshire Bank, and B and Virgin Money brands in the United Kingdom. The company offers savings accounts, mortgages, credit cards, current accounts, and home loans; business loans, overdraft facilities, treasury solutions, and corporate and structured finance; asset finance and wealth referral services; international trade services; currency services, pensions, and investments and protection products; and home, car, travel, and life and critical illness insurance. It also offers online and mobile banking, and telephone banking services. The company was formerly known as CYBG PLC and changed its name to Virgin Money UK PLC in October 2019. Virgin Money UK PLC was founded in 1838 and is headquartered in Glasgow, the United Kingdom.
